r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.245,-0.00103468219,-0.102154866,0.146961351,0.0600240405,-0.00112052343,-0.00547584827,-0.0657654439,0.0249119937
0.246,-0.00104225225,-0.100535946,0.143796899,0.0589302049,-0.00112004204,-0.00498319943,-0.0643329439,0.0243893191
0.247,-0.00104957298,-0.0989434542,0.140715961,0.0578620223,-0.00111912575,-0.00451332046,-0.0629404889,0.0238778463
0.248,-0.00105667648,-0.0973772303,0.137716241,0.0568188334,-0.00111780695,-0.00406475789,-0.0615866311,0.0233774376
0.249,-0.00106358872,-0.0958369314,0.134795227,0.0557998841,-0.00111611592,-0.00363614672,-0.060269877,0.0228878964
0.25,-0.00107033221,-0.094322241,0.131950495,0.0548044482,-0.00111408248,-0.00322621436,-0.0589888187,0.0224090219
0.251,-0.00107692625,-0.0928328681,0.129179717,0.0538318292,-0.00111173508,-0.00283377338,-0.0577421264,0.0219406121
0.252,-0.00108338786,-0.0913685468,0.126480672,0.0528813632,-0.00110910034,-0.00245771607,-0.056528538,0.0214824707
0.253,-0.00108973115,-0.0899290286,0.123851229,0.0519524133,-0.00110620346,-0.00209701035,-0.0553468612,0.0210344011
0.254,-0.00109596748,-0.0885140757,0.121289326,0.0510443668,-0.00110306852,-0.00175069702,-0.0541959722,0.0205962054
0.255,-0.00110210419,-0.0871233112,0.118792774,0.0501565507,-0.00109971637,-0.00141788382,-0.0530747241,0.0201676514
0.256,-0.00110814047,-0.0857558751,0.11635879,0.0492880338,-0.00109616057,-0.00109773899,-0.0519817314,0.0197483944
0.257,-0.00111407459,-0.0844109797,0.11398477,0.0484379423,-0.00109241554,-0.000789502704,-0.0509156929,0.019338113
0.258,-0.00111990969,-0.083088346,0.111668869,0.0476057167,-0.00108850069,-0.00049248289,-0.0498756678,0.0189366048
0.259,-0.00112564904,-0.0817877976,0.109409444,0.0467908788,-0.00108443508,-0.000206043408,-0.0488608271,0.018543693
0.26,-0.00113129498,-0.0805091505,0.107204901,0.0459929684,-0.00108023656,7.03995907e-05,-0.0478703801,0.0181592027
0.261,-0.00113684918,-0.0792522106,0.105053687,0.0452115403,-0.00107592218,0.000337379845,-0.0469035719,0.017782959
0.262,-0.00114231221,-0.0780167701,0.102954275,0.0444461613,-0.00107150842,0.000595384418,-0.0459596847,0.0174147843
0.263,-0.00114768419,-0.0768026111,0.100905179,0.0436964122,-0.00106701077,0.000844857522,-0.045038031,0.0170545021
0.264,-0.00115296485,-0.0756094961,0.0989049461,0.0429618835,-0.00106244291,0.00108620475,-0.0441379435,0.0167019378
0.265,-0.00115814806,-0.0744368038,0.096951679,0.0422419654,-0.00105781169,0.00131979081,-0.0432585619,0.0163568388
0.266,-0.00116322049,-0.0732834839,0.0950429885,0.0415358216,-0.00105311738,0.00154593812,-0.0423988144,0.016018863
0.267,-0.00116817391,-0.0721488578,0.0931770367,0.0408428433,-0.00104836509,0.00176494264,-0.0415578844,0.015687754
0.268,-0.00117300725,-0.0710327013,0.0913526288,0.0401626947,-0.00104356527,0.00197708217,-0.0407352457,0.0153633623
0.269,-0.00117771971,-0.0699348103,0.0895686442,0.0394950674,-0.0010387273,0.00218261232,-0.0399304084,0.0150455481
0.27,-0.00118231016,-0.0688549738,0.087823999,0.0388396636,-0.00103385947,0.00238176825,-0.0391429023,0.0147341741
0.271,-0.00118677721,-0.0677929746,0.0861176448,0.0381961956,-0.00102896922,0.00257476655,-0.0383722756,0.014429106
