r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.023,-0.000739779745,-0.000465647558,-2.9640988e-06,9.17969344e-06,-4.63381894e-06,-4.15026659e-07,2.45378228e-06,2.01200416e-06,-0.000176462185,9.2315869e-05,5.06232067e-07,1.74893294e-06,-1.55220497e-06,-4.66870631e-07
0.024,-0.000873091235,-0.000568717519,-7.26764173e-06,1.18861918e-05,-5.00853134e-06,-5.13336524e-07,2.72186582e-06,5.56993613e-06,-0.000211146251,0.000119531797,-6.14936438e-07,2.11008824e-06,-1.82789547e-06,-5.51157682e-07
0.025,-0.00102393911,-0.00068897964,-1.30258185e-05,1.52678033e-05,-5.36277244e-06,-6.28994075e-07,3.00337495e-06,1.00511274e-05,-0.00025077206,0.000153042673,-2.24366806e-06,2.53472572e-06,-2.13520357e-06,-6.44261622e-07
0.026,-0.00119382919,-0.000828454132,-2.05483543e-05,1.94641395e-05,-5.68417144e-06,-7.64157071e-07,3.2981076e-06,1.55443565e-05,-0.000295793318,0.00019394443,-4.50909749e-06,3.03372052e-06,-2.47526787e-06,-7.46596584e-07
0.027,-0.00138433211,-0.000989311658,-3.01895283e-05,2.46378518e-05,-5.95772949e-06,-9.21185006e-07,3.60601889e-06,2.21320781e-05,-0.000346683634,0.000243467168,-7.5618746e-06,3.61974535e-06,-2.8489403e-06,-8.58637146e-07
0.028,-0.0015970837,-0.00117387975,-4.2351964e-05,3.09774568e-05,-6.16538931e-06,-1.10264179e-06,3.92691547e-06,2.98885671e-05,-0.000403936604,0.000302985279,-1.15764631e-05,4.30748807e-06,-3.25671793e-06,-9.80795371e-07
0.029,-0.00183378542,-0.00138464945,-5.74905759e-05,3.87003906e-05,-6.28568225e-06,-1.31134441e-06,4.26083546e-06,3.88780307e-05,-0.000468065975,0.000374027945,-1.67536088e-05,5.11395334e-06,-3.69871633e-06,-1.11355463e-06
0.03,-0.0020962048,-0.00162428226,-7.61165252e-05,4.8056289e-05,-6.29315988e-06,-1.55035871e-06,4.60761345e-06,4.91526641e-05,-0.000539605873,0.000458289938,-2.33229336e-05,6.0586725e-06,-4.17457e-06,-1.25732608e-06
0.031,-0.00238617597,-0.00189561723,-9.88014731e-05,5.93305158e-05,-6.15819862e-06,-1.82307429e-06,4.96725225e-06,6.07507723e-05,-0.000619111106,0.000557642926,-3.15457195e-05,7.16421738e-06,-4.68343427e-06,-1.41246218e-06
0.032,-0.00270560038,-0.0022016784,-0.000126181991,7.2847923e-05,-5.84644366e-06,-2.13318256e-06,5.33935478e-06,7.36950799e-05,-0.000707157586,0.000674147233,-4.17178505e-05,8.45655644e-06,-5.22384997e-06,-1.5791106e-06
0.033,-0.00305644718,-0.00254568244,-0.000158963706,8.89768599e-05,-5.31825123e-06,-2.48480672e-06,5.72408851e-06,8.79905878e-05,-0.000804342846,0.000810063622,-5.41729574e-05,9.96531105e-06,-5.79378971e-06,-1.75762481e-06
0.034,-0.00344075353,-0.00293104653,-0.000197925628,0.00010813344,-4.52792825e-06,-2.88244802e-06,6.12118346e-06,0.000103622427,-0.00091128664,0.000967865519,-6.92856899e-05,1.1724037e-05,-6.39042667e-06,-1.94820829e-06
0.035,-0.00386062496,-0.00336139639,-0.000243924656,0.000130786092,-3.42345422e-06,-3.33117444e-06,6.5310183e-06,0.000120553757,-0.00102863166,0.00115025168,-8.7475235e-05,1.37707742e-05,-7.01026753e-06,-2.1512424e-06
0.036,-0.00431823566,-0.00384057461,-0.000297900139,0.000157460344,-1.94559283e-06,-3.83651797e-06,6.95327707e-06,0.00013872358,-0.0011570444,0.00136015917,-0.000109208995,1.61483614e-05,-7.64880408e-06,-2.36681343e-06
0.037,-0.00481582869,-0.00437264905,-0.000360878532,0.000188743939,-2.77094537e-08,-4.40475395e-06,7.38844111e-06,0.000158044516,-0.00129721609,0.0016007768,-0.000135006515,1.8905091e-05,-8.30077421e-06,-2.59519332e-06
0.038,-0.00535571607,-0.00496192148,-0.000433978094,0.000225292159,2.40537139e-06,-5.04272611e-06,7.8361191e-06,0.000178400474,-0.00144986385,0.0018755587,-0.000165443618,2.20949505e-05,-8.95964203e-06,-2.8362877e-06
0.039,-0.0059402787,-0.00561293634,-0.000518413698,0.000267833528,5.43734684e-06,-5.75824898e-06,8.29686391e-06,0.000199644282,-0.00161573191,0.00218823852,-0.000201156762,2.57784481e-05,-9.61803549e-06,-3.09018667e-06
0.04,-0.00657196612,-0.00633048961,-0.000615501619,0.000317175689,9.1619463e-06,-6.55982839e-06,8.77028734e-06,0.000221595178,-0.0017955931,0.00254284362,-0.000242847703,3.00226891e-05,-1.02669967e-05,-3.35662981e-06
0.041,-0.00725329646,-0.00711963775,-0.000726664846,0.000374211747,1.36822007e-05,-7.45721856e-06,9.25661654e-06,0.000244036572,-0.00199025038,0.0029437102,-0.000291288304,3.49027827e-05,-1.08966527e-05,-3.63513197e-06
0.042,-0.0079868571,-0.00798570678,-0.000853439112,0.000439926707,1.91115527e-05,-8.46097673e-06,9.75431109e-06,0.000266714424,-0.00220053874,0.00339549914,-0.00034732589,4.05024238e-05,-1.14952323e-05,-3.92418784e-06
0.043,-0.00877530352,-0.00893430159,-0.000997477274,0.000515404383,2.55742936e-05,-9.58329647e-06,1.02636197e-05,0.000289334066,-0.00242732729,0.00390321091,-0.000411888641,4.69143426e-05,-1.20500337e-05,-4.22288743e-06
0.044,-0.00962135823,-0.00997131506,-0.00116055459,0.000601834386,3.32073938e-05,-1.08373528e-05,1.07834199e-05,0.000311557193,-0.00267152144,0.00447220113,-0.000485991482,5.42402799e-05,-1.25459562e-05,-4.52977309e-06
0.045,-0.0105278098,-0.0111029373,-0.00134457394,0.000700519789,4.21598421e-05,-1.22383781e-05,1.13145624e-05,0.00033299906,-0.00293406541,0.00510819656,-0.000570741984,6.25923311e-05,-1.29668651e-05,-4.84399986e-06
0.046,-0.0114975118,-0.0123356645,-0.00155157178,0.000812884641,5.25943696e-05,-1.38027291e-05,1.18557872e-05,0.0003532256,-0.0032159449,0.0058173117,-0.000667347032,7.20930825e-05,-1.32936314e-05,-5.16365086e-06
0.047,-0.0125333814,-0.0136763086,-0.00178372345,0.000940482392,6.46866438e-05,-1.55492902e-05,1.2408209e-05,0.000371750436,-0.00351819014,0.0066060651,-0.000777119276,8.2877036e-05,-1.35059872e-05,-5.48758295e-06
0.048,-0.0136383979,-0.0151320053,-0.00204334978,0.00108500393,7.86269199e-05,-1.74981985e-05,1.29699785e-05,0.00038803192,-0.00384187907,0.00748139674,-0.000901484645,9.50908017e-05,-1.35799338e-05,-5.81298573e-06
0.049,-0.0148156008,-0.0167102239,-0.00233292238,0.0012482868,9.46192096e-05,-1.96726257e-05,1.35424994e-05,0.000401470006,-0.00418814103,0.00845068459,-0.0010419894,0.0001088945,-1.34901958e-05,-6.13835303e-06
0.05,-0.0160680887,-0.0184187747,-0.00265507137,0.0014323238,0.000112882369,-2.20970845e-05,1.41227727e-05,0.000411403344,-0.00455816049,0.00952176284,-0.00120030853,0.000124462319,-1.32068357e-05,-6.45951086e-06
0.051,-0.0173990142,-0.0202658186,-0.00301258792,0.00163927293,0.000133652371,-2.47996994e-05,1.47154508e-05,0.000417104062,-0.00495318141,0.0107029365,-0.00137825343,0.000141981529,-1.26983861e-05,-6.77675241e-06
0.052,-0.0188115721,-0.0222598736,-0.00340842433,0.00187146651,0.000157189698,-2.78102303e-05,1.53266575e-05,0.000417767926,-0.00537451097,0.0120029937,-0.0015777805,0.000161647928,-1.19269934e-05,-7.09248657e-06
0.053,-0.0203090002,-0.0244098211,-0.00384570447,0.00213142294,0.000183770405,-3.11621475e-05,1.59645667e-05,0.000412514882,-0.00582352395,0.0134312249,-0.00180099825,0.000183672339,-1.08520573e-05,-7.40994379e-06
0.054,-0.0218945769,-0.0267249116,-0.00432773304,0.00242185654,0.000213688792,-3.48900974e-05,1.6632128e-05,0.000400387401,-0.00630166809,0.0149974424,-0.00205017831,0.00020828051,-9.42547798e-06,-7.72883335e-06
0.055,-0.0235716161,-0.0292147701,-0.00485800044,0.0027456901,0.000247254093,-3.90326799e-05,1.73350409e-05,0.000380347036,-0.00681046936,0.0167119952,-0.00232776289,0.00023571493,-7.59573894e-06,-8.05042002e-06
0.056,-0.0253434609,-0.0318893996,-0.00544018979,0.00310606546,0.00028479633,-4.36293913e-05,1.8076474e-05,0.00035127089,-0.00735153787,0.0185857857,-0.00263637699,0.00026623238,-5.30239998e-06,-8.37384326e-06
0.057,-0.0272134775,-0.0347591849,-0.00607818205,0.00350635734,0.000326661209,-4.87238857e-05,1.88631191e-05,0.000311948686,-0.00792657394,0.0206302844,-0.00297883579,0.000300106499,-2.4803787e-06,-8.70100634e-06
0.058,-0.0291850466,-0.0378348928,-0.00677606271,0.00395018484,0.000373217816,-5.43601916e-05,1.97019315e-05,0.000261079239,-0.00853737462,0.0228575449,-0.00335815824,0.000337624118,9.4599983e-07,-9.03277986e-06
0.059,-0.0312615556,-0.0411276733,-0.00753812708,0.00444142677,0.000424851251,-6.05865487e-05,2.06025338e-05,0.00019726822,-0.00918584051,0.0252802178,-0.00377757406,0.000379088818,5.05885904e-06,-9.37317912e-06
0.06,-0.0334463867,-0.0446490565,-0.00836888546,0.0049842342,0.000481973856,-6.74507466e-05,2.15795229e-05,0.000119024568,-0.00987398292,0.0279115639,-0.00424053892,0.000424814994,9.95273696e-06,-9.72695798e-06
0.061,-0.035742916,-0.0484109493,-0.00927307835,0.0055830478,0.000545004477,-7.50043755e-05,2.26373953e-05,2.47659852e-05,-0.0106039315,0.0307654729,-0.00475074079,0.000475139931,1.57308718e-05,-1.00946069e-05
0.062,-0.0381545333,-0.0524256289,-0.0102557121,0.00624261228,0.000614356994,-8.32960702e-05,2.37612644e-05,-8.71620303e-05,-0.0113779438,0.0338564974,-0.00531211959,0.000530434869,2.25087679e-05,-1.0457231e-05
0.063,-0.0406846171,-0.056705745,-0.0113220459,0.00696799227,0.000690455522,-9.2379173e-05,2.4944707e-05,-0.00021850145,-0.0121984158,0.0371998545,-0.00592887683,0.000591095592,3.04101407e-05,-1.08027157e-05
0.064,-0.0433365126,-0.061264308,-0.0124775953,0.00776458643,0.000773746721,-0.000102304558,2.6191065e-05,-0.00037108879,-0.0130678893,0.0408114324,-0.00660549243,0.000657532288,3.95736962e-05,-1.11199562e-05
0.065,-0.0461135236,-0.0661146837,-0.0137281386,0.00863814716,0.000864691056,-0.000113127797,2.75130116e-05,-0.000546853777,-0.0139890626,0.0447078034,-0.0073467329,0.000730177551,5.01497352e-05,-1.14060403e-05
0.066,-0.049018897,-0.0712705783,-0.0150797305,0.00959479515,0.000963767181,-0.000124900761,2.89290492e-05,-0.000747819056,-0.0149647984,0.0489062358,-0.00815767024,0.000809480698,6.2306094e-05,-1.16558602e-05
0.067,-0.0520558104,-0.0767460274,-0.0165387051,0.0106410418,0.0010714659,-0.000137679107,3.04652464e-05,-0.000976097488,-0.0159981361,0.0534247041,-0.00904368965,0.000895916326,7.62255529e-05,-1.18700156e-05
0.068,-0.0552273533,-0.0825553775,-0.0181116901,0.0117838035,0.00118829459,-0.000151513519,3.2153292e-05,-0.00123389075,-0.0170922988,0.0582818987,-0.0100105098,0.000989976732,9.21108049e-05,-1.20463067e-05
0.069,-0.0585365087,-0.0887132694,-0.0198056053,0.0130304272,0.00131477544,-0.000166457103,3.40351307e-05,-0.00152348453,-0.0182507067,0.0634972337,-0.0110641903,0.00109218215,0.000110182921,-1.21858695e-05
0.07,-0.0619861285,-0.0952346145,-0.0216276765,0.0143887041,0.00145144831,-0.000182557009,3.61589812e-05,-0.00184724456,-0.0194769836,0.069090856,-0.0122111527,0.00120307198,0.00013068495,-1.22870083e-05
0.071,-0.0655790128,-0.102134569,-0.0235855322,0.0158669027,0.00159877046,-0.000199856708,3.84844644e-05,-0.00220750149,-0.0207749749,0.0750837579,-0.0134581922,0.00132332499,0.000153877168,-1.22399047e-05
0.072,-0.0693179678,-0.109428491,-0.0256872949,0.0174737834,0.00175707711,-0.000218380645,4.08899488e-05,-0.00260648339,-0.0221487411,0.0814978343,-0.0148124865,0.00145378062,0.00018004606,-1.18490694e-05
0.073,-0.073205625,-0.1171319,-0.0279414247,0.0192186137,0.00192675341,-0.000238149728,4.33665709e-05,-0.00304655347,-0.0236025449,0.0883556384,-0.016281571,0.00159522941,0.000209521853,-1.10686838e-05
0.074,-0.077244287,-0.125260456,-0.0303566239,0.0211111673,0.00210832078,-0.000259189523,4.60547817e-05,-0.00353029797,-0.02514087,0.0956803136,-0.0178733826,0.00174835039,0.000242660632,-9.99436779e-06
0.075,-0.0814360421,-0.133829914,-0.0329419757,0.023161774,0.0023022786,-0.000281516767,4.90597726e-05,-0.00406035261,-0.0267684408,0.103495727,-0.019596256,0.00191387317,0.000279856634,-8.69408281e-06
0.076,-0.0857827821,-0.142856073,-0.0357070072,0.0253813242,0.00250908676,-0.000305140185,5.24767492e-05,-0.00463937207,-0.0284902265,0.1118265,-0.0214589584,0.00209258995,0.000321519472,-7.21396255e-06
0.077,-0.090286167,-0.152354728,-0.0386616752,0.0277813124,0.00272917177,-0.000330048397,5.63672588e-05,-0.00527001397,-0.0303114556,0.120697975,-0.0234706741,0.00228535555,0.000368103974,-5.57173963e-06
0.078,-0.0949476039,-0.162341612,-0.0418164009,0.0303738405,0.00296293135,-0.000356219178,6.08117694e-05,-0.00595492671,-0.0322376137,0.130136223,-0.0256410378,0.00249308567,0.000420075729,-3.78170189e-06
0.079,-0.0997682184,-0.172832343,-0.0451820617,0.0331716613,0.00321073566,-0.00038360124,6.5862839e-05,-0.0066967284,-0.0342744592,0.140168006,-0.0279801163,0.00271675784,0.000477951909,-1.83686183e-06
0.08,-0.104748816,-0.183842348,-0.0487700192,0.0361881819,0.00347293658,-0.000412131356,7.16141142e-05,-0.00749799413,-0.0364280156,0.150820777,-0.0304984402,0.00295741643,0.000542252352,2.63899348e-07
0.081,-0.109889911,-0.195386809,-0.0525921669,0.0394375064,0.00374981179,-0.000441707389,7.80719451e-05,-0.00836121181,-0.0387045907,0.162122653,-0.0332069842,0.00321618984,0.000613551156,2.5606504e-06
0.082,-0.11519186,-0.207480569,-0.0566611283,0.0429344452,0.00404142211,-0.00047220643,8.51149559e-05,-0.0092887106,-0.0411107707,0.174102482,-0.0361172102,0.00349437479,0.000692401968,5.16389636e-06
0.083,-0.120654775,-0.220138133,-0.0609901604,0.046694531,0.00434775124,-0.000503467619,9.26025003e-05,-0.0102826958,-0.0436534468,0.186789773,-0.0392410823,0.0037933997,0.00077938462,8.22225608e-06
0.084,-0.126278433,-0.23337358,-0.0655931566,0.050734015,0.00466870839,-0.000535326717,0.000100425651,-0.0113452645,-0.0463397855,0.200214681,-0.0425910747,0.00411483207,0.000875043175,1.18868959e-05
0.085,-0.132062297,-0.247200541,-0.0704846638,0.0550698845,0.00500415219,-0.000567582968,0.000108475631,-0.0124783855,-0.0491772562,0.21440796,-0.0461801861,0.00446038401,0.000979938325,1.63413959e-05
0.086,-0.138005487,-0.261632114,-0.0756799467,0.0597198535,0.00535382568,-0.000600042133,0.000116632997,-0.0136839098,-0.0521735953,0.229400965,-0.0500219396,0.0048319549,0.00109457793,2.17830754e-05
