r,dnnbi,dne,dni,tbn,ti,te,vfova,cureq,feq,pressure,iota,q,1/D,curvature,shear,eta
0.664,0.4725083,0.828619,0.8398102,0.7978346,0.329133,0.3107827,0.3508801,-0.03202554,0.9948777,0.2980315,0.2872662,3.481091,0.8804361,-0.3357373,-0.9678514,6.185454
0.665,0.4707939,0.8280506,0.8392891,0.7978308,0.3283246,0.3097816,0.3508792,-0.03208769,0.9948669,0.2970034,0.2868472,3.486177,0.8801,-0.3365274,-0.9722952,6.215869
0.666,0.4690755,0.8274811,0.8387684,0.7978256,0.3275158,0.3087815,0.3508781,-0.03214972,0.9948561,0.2959744,0.2864274,3.491286,0.8797631,-0.3373195,-0.9767254,6.246511
0.667,0.4673532,0.8269106,0.8382482,0.7978189,0.3267067,0.3077826,0.3508766,-0.03221162,0.9948454,0.2949448,0.2860071,3.496417,0.8794254,-0.3381136,-0.981142,6.277383
0.668,0.4656273,0.8263389,0.8377283,0.7978105,0.3258973,0.3067847,0.3508748,-0.03227339,0.9948348,0.2939144,0.285586,3.501572,0.8790868,-0.3389096,-0.9855448,6.308485
0.669,0.4638977,0.8257662,0.8372088,0.7978004,0.3250874,0.3057878,0.3508725,-0.03233503,0.9948243,0.2928835,0.2851644,3.50675,0.8787475,-0.3397074,-0.989934,6.33982
0.67,0.4621649,0.8251925,0.8366896,0.7977883,0.3242771,0.3047921,0.3508699,-0.03239654,0.9948139,0.291852,0.2847421,3.51195,0.8784074,-0.3405071,-0.9943108,6.37139
0.671,0.4604286,0.8246177,0.8361707,0.7977741,0.3234664,0.3037974,0.3508668,-0.03245792,0.9948034,0.2908202,0.2843192,3.517173,0.8780665,-0.3413087,-0.998682,6.403197
0.672,0.4586883,0.8240419,0.8356523,0.7977582,0.3226552,0.3028037,0.3508633,-0.03251918,0.994793,0.2897881,0.2838958,3.52242,0.8777248,-0.3421119,-1.003055,6.435244
0.673,0.4569433,0.8234651,0.8351344,0.7977409,0.3218435,0.3018112,0.3508594,-0.0325803,0.9947826,0.2887555,0.2834717,3.527689,0.8773823,-0.3429169,-1.00743,6.467534
0.674,0.4551927,0.8228872,0.834617,0.7977226,0.3210314,0.3008197,0.3508554,-0.0326413,0.9947723,0.2877224,0.2830471,3.532981,0.877039,-0.3437235,-1.011808,6.50007
0.675,0.4534357,0.8223082,0.8341003,0.7977035,0.3202188,0.2998293,0.3508512,-0.03270218,0.9947621,0.2866886,0.2826219,3.538296,0.8766948,-0.3445317,-1.016189,6.532856
0.676,0.4516715,0.8217282,0.8335843,0.7976842,0.3194056,0.2988399,0.350847,-0.03276292,0.9947521,0.2856541,0.2821961,3.543635,0.8763499,-0.3453415,-1.020572,6.565896
0.677,0.4498994,0.8211471,0.8330692,0.7976649,0.3185919,0.2978516,0.3508427,-0.03282354,0.9947421,0.2846187,0.2817698,3.548996,0.8760042,-0.3461528,-1.024958,6.599191
0.678,0.4481186,0.8205649,0.8325549,0.7976461,0.3177776,0.2968644,0.3508386,-0.03288403,0.9947322,0.2835824,0.281343,3.554381,0.8756576,-0.3469656,-1.029346,6.632747
0.679,0.4463282,0.8199816,0.8320417,0.797628,0.3169627,0.2958782,0.3508346,-0.0329444,0.9947222,0.2825449,0.2809155,3.559789,0.8753102,-0.3477798,-1.033737,6.666565
0.68,0.4445275,0.8193972,0.8315296,0.7976111,0.3161472,0.294893,0.3508309,-0.03300464,0.9947122,0.2815064,0.2804876,3.56522,0.874962,-0.3485954,-1.038127,6.700651
0.681,0.4427159,0.8188116,0.8310186,0.7975955,0.3153311,0.293909,0.3508275,-0.03306475,0.9947023,0.2804669,0.2800591,3.570675,0.874613,-0.3494122,-1.042506,6.735007
0.682,0.4408942,0.818225,0.8305087,0.7975809,0.3145144,0.2929259,0.3508243,-0.03312474,0.9946926,0.2794266,0.2796301,3.576152,0.8742632,-0.3502304,-1.046862,6.769635
0.683,0.4390634,0.8176372,0.8299998,0.7975667,0.313697,0.2919439,0.3508211,-0.0331846,0.994683,0.2783854,0.2792007,3.581653,0.8739126,-0.3510497,-1.051192,6.804538
0.684,0.4372244,0.8170484,0.8294917,0.7975524,0.3128789,0.290963,0.350818,-0.03324434,0.9946735,0.2773434,0.2787707,3.587177,0.8735611,-0.3518702,-1.055496,6.839718
0.685,0.4353783,0.8164584,0.8289845,0.7975373,0.3120601,0.2899831,0.3508147,-0.03330395,0.9946641,0.2763006,0.2783403,3.592724,0.8732088,-0.3526918,-1.059775,6.875176
0.686,0.4335259,0.8158673,0.8284779,0.797521,0.3112407,0.2890043,0.3508111,-0.03336344,0.9946546,0.275257,0.2779095,3.598294,0.8728557,-0.3535144,-1.064028,6.910915
0.687,0.4316684,0.8152751,0.827972,0.797503,0.3104205,0.2880265,0.3508071,-0.0334228,0.9946451,0.2742127,0.2774782,3.603887,0.8725018,-0.354338,-1.068256,6.946937
0.688,0.4298067,0.8146819,0.8274666,0.7974825,0.3095995,0.2870497,0.3508026,-0.03348204,0.9946355,0.2731674,0.2770465,3.609502,0.8721471,-0.3551625,-1.072458,6.983244
0.689,0.4279418,0.8140875,0.8269616,0.7974592,0.3087778,0.286074,0.3507975,-0.03354116,0.9946262,0.2721212,0.2766145,3.61514,0.8717915,-0.3559879,-1.076634,7.019838
0.69,0.4260746,0.8134921,0.8264569,0.7974325,0.3079553,0.2850994,0.3507916,-0.03360015,0.994617,0.271074,0.2761821,3.6208,0.8714351,-0.3568142,-1.080787,7.056722
0.691,0.4242058,0.8128955,0.8259525,0.7974019,0.3071321,0.2841258,0.3507849,-0.03365902,0.994608,0.2700258,0.2757493,3.626483,0.8710779,-0.3576411,-1.084927,7.093898
0.692,0.4223348,0.8122979,0.8254484,0.7973679,0.306308,0.2831532,0.3507774,-0.03371777,0.9945991,0.2689765,0.2753162,3.632188,0.8707198,-0.3584688,-1.089064,7.131369
0.693,0.4204606,0.8116992,0.8249448,0.7973309,0.305483,0.2821817,0.3507693,-0.03377639,0.9945901,0.267926,0.2748827,3.637915,0.8703609,-0.3592971,-1.093202,7.16914
