r,dnnbi(m^-3),dne(m^-3),dni(m^-3),tbn(keV),ti(keV),te(keV),vzt_eq(m/s),vth_eq(m/s),vthermalep(m/s),etann(MKS)
0.774,4.792957e+17,2.489885e+19,2.074102e+19,56938.55,469.0606,349.6266,0.002633871,0.0,2335696.0,11.64678
0.775,4.746509e+17,2.487617e+19,2.072997e+19,56941.83,467.2109,348.1285,0.002629921,0.0,2335763.0,11.72648
0.776,4.70006e+17,2.485346e+19,2.071893e+19,56945.23,465.3601,346.6321,0.00262598,0.0,2335833.0,11.80699
0.777,4.653657e+17,2.48307e+19,2.070789e+19,56948.61,463.5082,345.1374,0.002622047,0.0,2335902.0,11.88833
0.778,4.607347e+17,2.480791e+19,2.069686e+19,56951.83,461.6553,343.6443,0.002618123,0.0,2335969.0,11.97051
0.779,4.561176e+17,2.478507e+19,2.068584e+19,56954.74,459.8016,342.1528,0.002614207,0.0,2336028.0,12.05354
0.78,4.51519e+17,2.47622e+19,2.06748e+19,56957.2,457.947,340.663,0.002610299,0.0,2336079.0,12.13742
0.781,4.469421e+17,2.473929e+19,2.066376e+19,56959.11,456.0917,339.1748,0.0026064,0.0,2336118.0,12.22218
0.782,4.423837e+17,2.471633e+19,2.065271e+19,56960.64,454.2356,337.6883,0.002602509,0.0,2336149.0,12.30781
0.783,4.378393e+17,2.469334e+19,2.064165e+19,56962.0,452.379,336.2033,0.002598626,0.0,2336177.0,12.39434
0.784,4.333042e+17,2.467031e+19,2.06306e+19,56963.4,450.5217,334.7199,0.002594751,0.0,2336206.0,12.48179
0.785,4.287739e+17,2.464723e+19,2.061956e+19,56965.06,448.6641,333.2382,0.002590884,0.0,2336240.0,12.57016
0.786,4.242436e+17,2.462412e+19,2.060853e+19,56967.19,446.806,331.758,0.002587026,0.0,2336284.0,12.65948
0.787,4.197088e+17,2.460097e+19,2.059751e+19,56970.02,444.9475,330.2794,0.002583177,0.0,2336342.0,12.74976
0.788,4.151648e+17,2.457779e+19,2.058651e+19,56973.75,443.0889,328.8024,0.002579336,0.0,2336418.0,12.84102
0.789,4.106071e+17,2.455456e+19,2.057554e+19,56978.61,441.23,327.3269,0.002575503,0.0,2336518.0,12.93327
0.79,4.06031e+17,2.45313e+19,2.05646e+19,56984.8,439.371,325.853,0.00257168,0.0,2336645.0,13.02654
0.791,4.014338e+17,2.4508e+19,2.055369e+19,56992.47,437.512,324.3806,0.002567865,0.0,2336802.0,13.12083
0.792,3.968198e+17,2.448466e+19,2.054281e+19,57001.45,435.653,322.9098,0.002564058,0.0,2336986.0,13.21617
0.793,3.921956e+17,2.446129e+19,2.053194e+19,57011.49,433.794,321.4405,0.00256026,0.0,2337192.0,13.31256
0.794,3.875674e+17,2.443788e+19,2.052109e+19,57022.35,431.9353,319.9727,0.00255647,0.0,2337414.0,13.41002
0.795,3.829416e+17,2.441443e+19,2.051025e+19,57033.8,430.0768,318.5065,0.002552689,0.0,2337649.0,13.50855
0.796,3.783244e+17,2.439094e+19,2.04994e+19,57045.58,428.2185,317.0418,0.002548915,0.0,2337890.0,13.60817
0.797,3.737224e+17,2.436741e+19,2.048856e+19,57057.46,426.3607,315.5786,0.00254515,0.0,2338134.0,13.7089
0.798,3.691417e+17,2.434385e+19,2.047769e+19,57069.18,424.5033,314.1169,0.002541392,0.0,2338374.0,13.81073
0.799,3.645888e+17,2.432024e+19,2.046681e+19,57080.51,422.6463,312.6567,0.002537642,0.0,2338606.0,13.9137
0.8,3.6007e+17,2.42966e+19,2.04559e+19,57091.2,420.79,311.198,0.0025339,0.0,2338825.0,14.0178
0.801,3.555898e+17,2.427292e+19,2.044496e+19,57101.1,418.9343,309.7408,0.002530165,0.0,2339028.0,14.12305
0.802,3.511452e+17,2.424919e+19,2.043399e+19,57110.4,417.0793,308.2851,0.002526437,0.0,2339218.0,14.22948
0.803,3.467314e+17,2.422543e+19,2.0423e+19,57119.4,415.2251,306.8309,0.002522718,0.0,2339402.0,14.3371
0.804,3.423436e+17,2.420163e+19,2.041199e+19,57128.36,413.3718,305.3781,0.002519005,0.0,2339586.0,14.44593
0.805,3.37977e+17,2.417779e+19,2.040096e+19,57137.59,411.5194,303.9268,0.002515301,0.0,2339775.0,14.55601
0.806,3.336268e+17,2.415391e+19,2.038993e+19,57147.36,409.668,302.477,0.002511604,0.0,2339975.0,14.66735
0.807,3.292882e+17,2.412999e+19,2.037889e+19,57157.97,407.8177,301.0286,0.002507915,0.0,2340192.0,14.77997
