r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.023,2.36904705e-06,-6.39225335e-07,2.91462523e-07,-3.52221364e-08,-2.68982598e-10,-2.11055206e-12,-2.45044098e-12,2.92862193e-06,1.40047416e-06,1.88790206e-07,-2.51246997e-08,5.2042573e-10,2.21687339e-11,6.45067649e-12
0.024,2.80089768e-06,-7.90348726e-07,3.75278718e-07,-4.72940835e-08,-2.53316011e-10,8.62172146e-13,-2.76513096e-12,3.46703944e-06,1.72946965e-06,2.45256047e-07,-3.35995452e-08,5.26138216e-10,2.9910648e-11,6.26588464e-12
0.025,3.28818284e-06,-9.68717497e-07,4.78207664e-07,-6.27285967e-08,-2.15396586e-10,4.97600287e-12,-3.17726732e-12,4.07567755e-06,2.11717233e-06,3.15093358e-07,-4.44506467e-08,5.02279438e-10,4.01012831e-11,5.87236856e-12
0.026,3.83518186e-06,-1.17783281e-06,6.03563542e-07,-8.22650036e-08,-1.47065575e-10,1.05639283e-11,-3.72766504e-12,4.76016994e-06,2.57098535e-06,4.00726704e-07,-5.82119579e-08,4.3742317e-10,5.34141231e-11,5.2357833e-12
0.027,4.4462786e-06,-1.42147605e-06,7.55067531e-07,-1.06765138e-07,-3.81361612e-11,1.80481962e-11,-4.46837292e-12,5.52631971e-06,3.09887838e-06,5.04897733e-07,-7.55089798e-08,3.17513545e-10,7.06768653e-11,4.32098126e-12
0.028,5.12595355e-06,-1.70371802e-06,9.36878397e-07,-1.37227428e-07,1.23968339e-10,2.7959471e-11,-5.4648203e-12,6.38009169e-06,3.70940227e-06,6.30691698e-07,-9.7069837e-08,1.25457866e-10,9.28984852e-11,3.09276043e-12
0.029,5.87877574e-06,-2.02892779e-06,1.15362394e-06,-1.7480192e-07,3.54619914e-10,4.09588071e-11,-6.79808379e-12,7.32760437e-06,4.41170286e-06,7.81564989e-07,-1.23737157e-07,-1.59319783e-10,1.2129989e-10,1.51647782e-12
0.03,6.70939447e-06,-2.40178137e-06,1.41043325e-06,-2.20806245e-07,6.72438696e-10,5.78625112e-11,-8.5677554e-12,8.37512162e-06,5.21553378e-06,9.61373637e-07,-1.5648077e-07,-5.61365661e-10,1.57347567e-10,-4.40911222e-13
0.031,7.62253084e-06,-2.82727004e-06,1.71296978e-06,-2.76742544e-07,1.09979719e-09,7.96698027e-11,-1.08949861e-11,9.52904396e-06,6.13126822e-06,1.17440276e-06,-1.9641124e-07,-1.10972325e-09,2.02790934e-10,-2.81009858e-12
0.032,8.62296905e-06,-3.31070825e-06,2.06746511e-06,-3.44315381e-07,1.66337718e-09,1.0759401e-10,-1.3926467e-11,1.07958996e-05,7.16990964e-06,1.42539695e-06,-2.44794241e-07,-1.83850169e-09,2.59701915e-10,-5.61818216e-12
