       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.2070000E+00	  0.1950884E+19	  0.3231398E+20	  0.2633615E+20	  0.1226194E+06	  0.1696794E+04	  0.1458702E+04	  0.7487443E-02	  0.0000000E+00	  0.3427621E+07	  0.1337131E+01
  0.2080000E+00	  0.1950948E+19	  0.3230925E+20	  0.2633646E+20	  0.1226089E+06	  0.1694282E+04	  0.1456760E+04	  0.7472196E-02	  0.0000000E+00	  0.3427473E+07	  0.1340018E+01
  0.2090000E+00	  0.1950994E+19	  0.3230449E+20	  0.2633671E+20	  0.1225984E+06	  0.1691764E+04	  0.1454812E+04	  0.7456980E-02	  0.0000000E+00	  0.3427327E+07	  0.1342920E+01
  0.2100000E+00	  0.1951020E+19	  0.3229970E+20	  0.2633690E+20	  0.1225880E+06	  0.1689240E+04	  0.1452860E+04	  0.7441795E-02	  0.0000000E+00	  0.3427182E+07	  0.1345837E+01
  0.2110000E+00	  0.1951025E+19	  0.3229489E+20	  0.2633703E+20	  0.1225777E+06	  0.1686710E+04	  0.1450902E+04	  0.7426642E-02	  0.0000000E+00	  0.3427038E+07	  0.1348769E+01
  0.2120000E+00	  0.1951008E+19	  0.3229006E+20	  0.2633711E+20	  0.1225675E+06	  0.1684175E+04	  0.1448940E+04	  0.7411521E-02	  0.0000000E+00	  0.3426895E+07	  0.1351717E+01
  0.2130000E+00	  0.1950973E+19	  0.3228520E+20	  0.2633713E+20	  0.1225574E+06	  0.1681634E+04	  0.1446972E+04	  0.7396430E-02	  0.0000000E+00	  0.3426754E+07	  0.1354680E+01
  0.2140000E+00	  0.1950918E+19	  0.3228031E+20	  0.2633708E+20	  0.1225474E+06	  0.1679088E+04	  0.1444999E+04	  0.7381371E-02	  0.0000000E+00	  0.3426614E+07	  0.1357658E+01
  0.2150000E+00	  0.1950846E+19	  0.3227541E+20	  0.2633698E+20	  0.1225374E+06	  0.1676536E+04	  0.1443022E+04	  0.7366343E-02	  0.0000000E+00	  0.3426475E+07	  0.1360651E+01
  0.2160000E+00	  0.1950759E+19	  0.3227047E+20	  0.2633681E+20	  0.1225275E+06	  0.1673978E+04	  0.1441039E+04	  0.7351345E-02	  0.0000000E+00	  0.3426336E+07	  0.1363660E+01
  0.2170000E+00	  0.1950656E+19	  0.3226552E+20	  0.2633658E+20	  0.1225176E+06	  0.1671415E+04	  0.1439051E+04	  0.7336378E-02	  0.0000000E+00	  0.3426197E+07	  0.1366684E+01
  0.2180000E+00	  0.1950539E+19	  0.3226054E+20	  0.2633629E+20	  0.1225077E+06	  0.1668845E+04	  0.1437059E+04	  0.7321442E-02	  0.0000000E+00	  0.3426059E+07	  0.1369724E+01
