        r	      denseq	       teeq	       nfeq	     dnfeqdr	      vfova	      cureq	       feq	    pressure	       iota	        1/D	    curvature	      shear	     eta
  0.2290000E+00	  0.9463990E+00	  0.9458367E+00	  0.7459788E+00	 -0.2745824E+01	  0.6800000E+00	  0.4462877E-04	  0.1000889E+01	  0.9921021E+00	 -0.4851705E+00	  0.9968374E+00	 -0.3258888E-01	  0.6070487E-01	  0.1087116E+01
  0.2300000E+00	  0.9460328E+00	  0.9454421E+00	  0.7432242E+00	 -0.2763447E+01	  0.6800000E+00	  0.4500878E-04	  0.1000890E+01	  0.9920346E+00	 -0.4852994E+00	  0.9968048E+00	 -0.3268780E-01	  0.6128842E-01	  0.1087796E+01
  0.2310000E+00	  0.9456652E+00	  0.9450468E+00	  0.7404519E+00	 -0.2780967E+01	  0.6800000E+00	  0.4539027E-04	  0.1000892E+01	  0.9919668E+00	 -0.4854291E+00	  0.9967721E+00	 -0.3278605E-01	  0.6187682E-01	  0.1088479E+01
  0.2320000E+00	  0.9452962E+00	  0.9446507E+00	  0.7376622E+00	 -0.2798379E+01	  0.6800000E+00	  0.4577322E-04	  0.1000893E+01	  0.9918986E+00	 -0.4855595E+00	  0.9967392E+00	 -0.3288364E-01	  0.6247014E-01	  0.1089164E+01
  0.2330000E+00	  0.9449259E+00	  0.9442539E+00	  0.7348552E+00	 -0.2815678E+01	  0.6800000E+00	  0.4615763E-04	  0.1000894E+01	  0.9918302E+00	 -0.4856906E+00	  0.9967063E+00	 -0.3298056E-01	  0.6306844E-01	  0.1089850E+01
  0.2340000E+00	  0.9445541E+00	  0.9438564E+00	  0.7320309E+00	 -0.2832859E+01	  0.6800000E+00	  0.4654351E-04	  0.1000896E+01	  0.9917614E+00	 -0.4858224E+00	  0.9966733E+00	 -0.3307680E-01	  0.6367179E-01	  0.1090539E+01
  0.2350000E+00	  0.9441808E+00	  0.9434582E+00	  0.7291894E+00	 -0.2849918E+01	  0.6800000E+00	  0.4693085E-04	  0.1000897E+01	  0.9916924E+00	 -0.4859550E+00	  0.9966401E+00	 -0.3317237E-01	  0.6428026E-01	  0.1091229E+01
  0.2360000E+00	  0.9438062E+00	  0.9430593E+00	  0.7263310E+00	 -0.2866850E+01	  0.6800000E+00	  0.4731965E-04	  0.1000898E+01	  0.9916230E+00	 -0.4860883E+00	  0.9966069E+00	 -0.3326725E-01	  0.6489391E-01	  0.1091922E+01
  0.2370000E+00	  0.9434300E+00	  0.9426596E+00	  0.7234557E+00	 -0.2883650E+01	  0.6800000E+00	  0.4770991E-04	  0.1000900E+01	  0.9915532E+00	 -0.4862223E+00	  0.9965736E+00	 -0.3336145E-01	  0.6551282E-01	  0.1092616E+01
  0.2380000E+00	  0.9430523E+00	  0.9422592E+00	  0.7205637E+00	 -0.2900312E+01	  0.6800000E+00	  0.4810161E-04	  0.1000901E+01	  0.9914832E+00	 -0.4863571E+00	  0.9965402E+00	 -0.3345495E-01	  0.6613705E-01	  0.1093313E+01
  0.2390000E+00	  0.9426731E+00	  0.9418582E+00	  0.7176551E+00	 -0.2916833E+01	  0.6800000E+00	  0.4849477E-04	  0.1000903E+01	  0.9914128E+00	 -0.4864926E+00	  0.9965067E+00	 -0.3354775E-01	  0.6676668E-01	  0.1094011E+01
  0.2400000E+00	  0.9422923E+00	  0.9414564E+00	  0.7147301E+00	 -0.2933208E+01	  0.6800000E+00	  0.4888938E-04	  0.1000904E+01	  0.9913421E+00	 -0.4866289E+00	  0.9964731E+00	 -0.3363985E-01	  0.6740179E-01	  0.1094712E+01
  0.2410000E+00	  0.9419099E+00	  0.9410539E+00	  0.7117887E+00	 -0.2949430E+01	  0.6800000E+00	  0.4928543E-04	  0.1000905E+01	  0.9912711E+00	 -0.4867660E+00	  0.9964394E+00	 -0.3373124E-01	  0.6804244E-01	  0.1095414E+01
  0.2420000E+00	  0.9415259E+00	  0.9406508E+00	  0.7088312E+00	 -0.2965496E+01	  0.6800000E+00	  0.4968293E-04	  0.1000907E+01	  0.9911998E+00	 -0.4869038E+00	  0.9964056E+00	 -0.3382192E-01	  0.6868871E-01	  0.1096118E+01
  0.2430000E+00	  0.9411403E+00	  0.9402469E+00	  0.7058577E+00	 -0.2981401E+01	  0.6800000E+00	  0.5008186E-04	  0.1000908E+01	  0.9911281E+00	 -0.4870424E+00	  0.9963718E+00	 -0.3391187E-01	  0.6934068E-01	  0.1096824E+01
  0.2440000E+00	  0.9407531E+00	  0.9398424E+00	  0.7028684E+00	 -0.2997140E+01	  0.6800000E+00	  0.5048224E-04	  0.1000910E+01	  0.9910561E+00	 -0.4871817E+00	  0.9963378E+00	 -0.3400111E-01	  0.6999843E-01	  0.1097533E+01
  0.2450000E+00	  0.9403642E+00	  0.9394372E+00	  0.6998634E+00	 -0.3012707E+01	  0.6800000E+00	  0.5088405E-04	  0.1000911E+01	  0.9909837E+00	 -0.4873219E+00	  0.9963038E+00	 -0.3408961E-01	  0.7066202E-01	  0.1098243E+01
  0.2460000E+00	  0.9399736E+00	  0.9390313E+00	  0.6968430E+00	 -0.3028099E+01	  0.6800000E+00	  0.5128729E-04	  0.1000913E+01	  0.9909110E+00	 -0.4874628E+00	  0.9962696E+00	 -0.3417738E-01	  0.7133155E-01	  0.1098955E+01
  0.2470000E+00	  0.9395812E+00	  0.9386247E+00	  0.6938072E+00	 -0.3043310E+01	  0.6800000E+00	  0.5169197E-04	  0.1000914E+01	  0.9908380E+00	 -0.4876046E+00	  0.9962354E+00	 -0.3426440E-01	  0.7200709E-01	  0.1099669E+01
  0.2480000E+00	  0.9391871E+00	  0.9382175E+00	  0.6907564E+00	 -0.3058335E+01	  0.6800000E+00	  0.5209807E-04	  0.1000915E+01	  0.9907647E+00	 -0.4877471E+00	  0.9962011E+00	 -0.3435069E-01	  0.7268873E-01	  0.1100385E+01
  0.2490000E+00	  0.9387913E+00	  0.9378096E+00	  0.6876906E+00	 -0.3073170E+01	  0.6800000E+00	  0.5250560E-04	  0.1000917E+01	  0.9906909E+00	 -0.4878905E+00	  0.9961667E+00	 -0.3443622E-01	  0.7337654E-01	  0.1101103E+01
  0.2500000E+00	  0.9383936E+00	  0.9374010E+00	  0.6846100E+00	 -0.3087810E+01	  0.6800000E+00	  0.5291455E-04	  0.1000918E+01	  0.9906169E+00	 -0.4880347E+00	  0.9961322E+00	 -0.3452099E-01	  0.7407062E-01	  0.1101823E+01
  0.2510000E+00	  0.9379942E+00	  0.9369918E+00	  0.6815149E+00	 -0.3102250E+01	  0.6800000E+00	  0.5332492E-04	  0.1000920E+01	  0.9905425E+00	 -0.4881797E+00	  0.9960977E+00	 -0.3460501E-01	  0.7477104E-01	  0.1102545E+01
  0.2520000E+00	  0.9375929E+00	  0.9365819E+00	  0.6784055E+00	 -0.3116485E+01	  0.6800000E+00	  0.5373671E-04	  0.1000921E+01	  0.9904677E+00	 -0.4883255E+00	  0.9960630E+00	 -0.3468825E-01	  0.7547789E-01	  0.1103269E+01
  0.2530000E+00	  0.9371897E+00	  0.9361713E+00	  0.6752820E+00	 -0.3130511E+01	  0.6800000E+00	  0.5414991E-04	  0.1000923E+01	  0.9903926E+00	 -0.4884722E+00	  0.9960283E+00	 -0.3477073E-01	  0.7619126E-01	  0.1103995E+01
  0.2540000E+00	  0.9367846E+00	  0.9357601E+00	  0.6721445E+00	 -0.3144323E+01	  0.6800000E+00	  0.5456452E-04	  0.1000924E+01	  0.9903172E+00	 -0.4886197E+00	  0.9959935E+00	 -0.3485242E-01	  0.7691124E-01	  0.1104723E+01
  0.2550000E+00	  0.9363777E+00	  0.9353482E+00	  0.6689933E+00	 -0.3157917E+01	  0.6800000E+00	  0.5498055E-04	  0.1000926E+01	  0.9902413E+00	 -0.4887681E+00	  0.9959586E+00	 -0.3493334E-01	  0.7763792E-01	  0.1105452E+01
  0.2560000E+00	  0.9359687E+00	  0.9349357E+00	  0.6658287E+00	 -0.3171287E+01	  0.6800000E+00	  0.5539798E-04	  0.1000927E+01	  0.9901652E+00	 -0.4889174E+00	  0.9959236E+00	 -0.3501346E-01	  0.7837138E-01	  0.1106184E+01
  0.2570000E+00	  0.9355579E+00	  0.9345225E+00	  0.6626508E+00	 -0.3184430E+01	  0.6800000E+00	  0.5581682E-04	  0.1000929E+01	  0.9900886E+00	 -0.4890675E+00	  0.9958886E+00	 -0.3509279E-01	  0.7911172E-01	  0.1106918E+01
  0.2580000E+00	  0.9351450E+00	  0.9341086E+00	  0.6594598E+00	 -0.3197341E+01	  0.6800000E+00	  0.5623706E-04	  0.1000930E+01	  0.9900117E+00	 -0.4892185E+00	  0.9958534E+00	 -0.3517133E-01	  0.7985883E-01	  0.1107653E+01
  0.2590000E+00	  0.9347301E+00	  0.9336941E+00	  0.6562561E+00	 -0.3210015E+01	  0.6800000E+00	  0.5665869E-04	  0.1000932E+01	  0.9899345E+00	 -0.4893703E+00	  0.9958182E+00	 -0.3524911E-01	  0.8061117E-01	  0.1108391E+01
  0.2600000E+00	  0.9343132E+00	  0.9332790E+00	  0.6530398E+00	 -0.3222448E+01	  0.6800000E+00	  0.5708172E-04	  0.1000934E+01	  0.9898568E+00	 -0.4895231E+00	  0.9957829E+00	 -0.3532619E-01	  0.8136667E-01	  0.1109131E+01
  0.2610000E+00	  0.9338942E+00	  0.9328632E+00	  0.6498112E+00	 -0.3234636E+01	  0.6800000E+00	  0.5750615E-04	  0.1000935E+01	  0.9897788E+00	 -0.4896767E+00	  0.9957476E+00	 -0.3540257E-01	  0.8212462E-01	  0.1109872E+01
  0.2620000E+00	  0.9334732E+00	  0.9324468E+00	  0.6465705E+00	 -0.3246575E+01	  0.6800000E+00	  0.5793197E-04	  0.1000937E+01	  0.9897004E+00	 -0.4898312E+00	  0.9957121E+00	 -0.3547827E-01	  0.8288497E-01	  0.1110616E+01
  0.2630000E+00	  0.9330500E+00	  0.9320298E+00	  0.6433180E+00	 -0.3258260E+01	  0.6800000E+00	  0.5835917E-04	  0.1000938E+01	  0.9896217E+00	 -0.4899866E+00	  0.9956766E+00	 -0.3555327E-01	  0.8364766E-01	  0.1111361E+01
  0.2640000E+00	  0.9326247E+00	  0.9316121E+00	  0.6400540E+00	 -0.3269687E+01	  0.6800000E+00	  0.5878776E-04	  0.1000940E+01	  0.9895425E+00	 -0.4901429E+00	  0.9956410E+00	 -0.3562757E-01	  0.8441262E-01	  0.1112109E+01
  0.2650000E+00	  0.9321973E+00	  0.9311937E+00	  0.6367787E+00	 -0.3280852E+01	  0.6800000E+00	  0.5921773E-04	  0.1000941E+01	  0.9894630E+00	 -0.4903001E+00	  0.9956054E+00	 -0.3570118E-01	  0.8517979E-01	  0.1112858E+01
  0.2660000E+00	  0.9317677E+00	  0.9307748E+00	  0.6334923E+00	 -0.3291751E+01	  0.6800000E+00	  0.5964909E-04	  0.1000943E+01	  0.9893831E+00	 -0.4904581E+00	  0.9955696E+00	 -0.3577408E-01	  0.8594910E-01	  0.1113610E+01
  0.2670000E+00	  0.9313358E+00	  0.9303552E+00	  0.6301951E+00	 -0.3302381E+01	  0.6800000E+00	  0.6008181E-04	  0.1000945E+01	  0.9893028E+00	 -0.4906170E+00	  0.9955338E+00	 -0.3584627E-01	  0.8672049E-01	  0.1114363E+01
  0.2680000E+00	  0.9309018E+00	  0.9299349E+00	  0.6268875E+00	 -0.3312737E+01	  0.6800000E+00	  0.6051592E-04	  0.1000946E+01	  0.9892221E+00	 -0.4907768E+00	  0.9954979E+00	 -0.3591776E-01	  0.8749390E-01	  0.1115119E+01
  0.2690000E+00	  0.9304655E+00	  0.9295140E+00	  0.6235697E+00	 -0.3322816E+01	  0.6800000E+00	  0.6095139E-04	  0.1000948E+01	  0.9891411E+00	 -0.4909375E+00	  0.9954620E+00	 -0.3598853E-01	  0.8826925E-01	  0.1115876E+01
  0.2700000E+00	  0.9300269E+00	  0.9290925E+00	  0.6202419E+00	 -0.3332613E+01	  0.6800000E+00	  0.6138823E-04	  0.1000949E+01	  0.9890596E+00	 -0.4910990E+00	  0.9954260E+00	 -0.3605859E-01	  0.8904647E-01	  0.1116636E+01
  0.2710000E+00	  0.9295860E+00	  0.9286704E+00	  0.6169044E+00	 -0.3342126E+01	  0.6800000E+00	  0.6182644E-04	  0.1000951E+01	  0.9889777E+00	 -0.4912614E+00	  0.9953899E+00	 -0.3612793E-01	  0.8982550E-01	  0.1117397E+01
  0.2720000E+00	  0.9291429E+00	  0.9282476E+00	  0.6135576E+00	 -0.3351351E+01	  0.6800000E+00	  0.6226601E-04	  0.1000953E+01	  0.9888954E+00	 -0.4914247E+00	  0.9953537E+00	 -0.3619655E-01	  0.9060625E-01	  0.1118161E+01
  0.2730000E+00	  0.9286973E+00	  0.9278242E+00	  0.6102017E+00	 -0.3360284E+01	  0.6800000E+00	  0.6270694E-04	  0.1000954E+01	  0.9888127E+00	 -0.4915888E+00	  0.9953175E+00	 -0.3626445E-01	  0.9138867E-01	  0.1118926E+01
  0.2740000E+00	  0.9282494E+00	  0.9274001E+00	  0.6068371E+00	 -0.3368923E+01	  0.6800000E+00	  0.6314923E-04	  0.1000956E+01	  0.9887296E+00	 -0.4917538E+00	  0.9952812E+00	 -0.3633163E-01	  0.9217267E-01	  0.1119694E+01
  0.2750000E+00	  0.9277992E+00	  0.9269755E+00	  0.6034639E+00	 -0.3377264E+01	  0.6800000E+00	  0.6359287E-04	  0.1000958E+01	  0.9886461E+00	 -0.4919197E+00	  0.9952448E+00	 -0.3639807E-01	  0.9295817E-01	  0.1120463E+01
  0.2760000E+00	  0.9273465E+00	  0.9265502E+00	  0.6000825E+00	 -0.3385303E+01	  0.6800000E+00	  0.6403787E-04	  0.1000959E+01	  0.9885621E+00	 -0.4920864E+00	  0.9952084E+00	 -0.3646379E-01	  0.9374511E-01	  0.1121235E+01
  0.2770000E+00	  0.9268914E+00	  0.9261242E+00	  0.5966933E+00	 -0.3393038E+01	  0.6800000E+00	  0.6448421E-04	  0.1000961E+01	  0.9884778E+00	 -0.4922539E+00	  0.9951719E+00	 -0.3652877E-01	  0.9453339E-01	  0.1122008E+01
  0.2780000E+00	  0.9264338E+00	  0.9256977E+00	  0.5932965E+00	 -0.3400466E+01	  0.6800000E+00	  0.6493190E-04	  0.1000963E+01	  0.9883930E+00	 -0.4924224E+00	  0.9951353E+00	 -0.3659301E-01	  0.9532295E-01	  0.1122784E+01
  0.2790000E+00	  0.9259738E+00	  0.9252705E+00	  0.5898924E+00	 -0.3407585E+01	  0.6800000E+00	  0.6538093E-04	  0.1000964E+01	  0.9883078E+00	 -0.4925916E+00	  0.9950987E+00	 -0.3665652E-01	  0.9611370E-01	  0.1123562E+01
  0.2800000E+00	  0.9255113E+00	  0.9248427E+00	  0.5864813E+00	 -0.3414390E+01	  0.6800000E+00	  0.6583130E-04	  0.1000966E+01	  0.9882221E+00	 -0.4927617E+00	  0.9950620E+00	 -0.3671928E-01	  0.9690556E-01	  0.1124341E+01
  0.2810000E+00	  0.9250462E+00	  0.9244142E+00	  0.5830636E+00	 -0.3420881E+01	  0.6800000E+00	  0.6628300E-04	  0.1000968E+01	  0.9881361E+00	 -0.4929327E+00	  0.9950253E+00	 -0.3678130E-01	  0.9769844E-01	  0.1125123E+01
  0.2820000E+00	  0.9245786E+00	  0.9239851E+00	  0.5796395E+00	 -0.3427054E+01	  0.6800000E+00	  0.6673604E-04	  0.1000970E+01	  0.9880495E+00	 -0.4931045E+00	  0.9949884E+00	 -0.3684257E-01	  0.9849226E-01	  0.1125907E+01
  0.2830000E+00	  0.9241085E+00	  0.9235554E+00	  0.5762095E+00	 -0.3432906E+01	  0.6800000E+00	  0.6719042E-04	  0.1000971E+01	  0.9879626E+00	 -0.4932772E+00	  0.9949516E+00	 -0.3690309E-01	  0.9928693E-01	  0.1126693E+01
  0.2840000E+00	  0.9236358E+00	  0.9231251E+00	  0.5727737E+00	 -0.3438437E+01	  0.6800000E+00	  0.6764612E-04	  0.1000973E+01	  0.9878751E+00	 -0.4934506E+00	  0.9949146E+00	 -0.3696285E-01	  0.1000824E+00	  0.1127481E+01
  0.2850000E+00	  0.9231605E+00	  0.9226941E+00	  0.5693326E+00	 -0.3443643E+01	  0.6800000E+00	  0.6810314E-04	  0.1000975E+01	  0.9877873E+00	 -0.4936249E+00	  0.9948776E+00	 -0.3702186E-01	  0.1008785E+00	  0.1128271E+01
  0.2860000E+00	  0.9226826E+00	  0.9222625E+00	  0.5658864E+00	 -0.3448523E+01	  0.6800000E+00	  0.6856149E-04	  0.1000977E+01	  0.9876989E+00	 -0.4938001E+00	  0.9948406E+00	 -0.3708011E-01	  0.1016752E+00	  0.1129063E+01
  0.2870000E+00	  0.9222020E+00	  0.9218302E+00	  0.5624356E+00	 -0.3453075E+01	  0.6800000E+00	  0.6902115E-04	  0.1000978E+01	  0.9876101E+00	 -0.4939760E+00	  0.9948035E+00	 -0.3713760E-01	  0.1024724E+00	  0.1129857E+01
  0.2880000E+00	  0.9217188E+00	  0.9213974E+00	  0.5589803E+00	 -0.3457296E+01	  0.6800000E+00	  0.6948213E-04	  0.1000980E+01	  0.9875209E+00	 -0.4941528E+00	  0.9947663E+00	 -0.3719432E-01	  0.1032700E+00	  0.1130654E+01
  0.2890000E+00	  0.9212329E+00	  0.9209639E+00	  0.5555210E+00	 -0.3461186E+01	  0.6800000E+00	  0.6994443E-04	  0.1000982E+01	  0.9874312E+00	 -0.4943304E+00	  0.9947291E+00	 -0.3725029E-01	  0.1040685E+00	  0.1131452E+01
  0.2900000E+00	  0.9207443E+00	  0.9205297E+00	  0.5520579E+00	 -0.3464743E+01	  0.6800000E+00	  0.7040803E-04	  0.1000984E+01	  0.9873410E+00	 -0.4945088E+00	  0.9946918E+00	 -0.3730553E-01	  0.1048696E+00	  0.1132252E+01
  0.2910000E+00	  0.9202530E+00	  0.9200949E+00	  0.5485915E+00	 -0.3467965E+01	  0.6800000E+00	  0.7087294E-04	  0.1000985E+01	  0.9872503E+00	 -0.4946881E+00	  0.9946545E+00	 -0.3736007E-01	  0.1056741E+00	  0.1133055E+01
  0.2920000E+00	  0.9197590E+00	  0.9196595E+00	  0.5451220E+00	 -0.3470852E+01	  0.6800000E+00	  0.7133916E-04	  0.1000987E+01	  0.9871591E+00	 -0.4948681E+00	  0.9946171E+00	 -0.3741391E-01	  0.1064823E+00	  0.1133860E+01
  0.2930000E+00	  0.9192623E+00	  0.9192235E+00	  0.5416498E+00	 -0.3473401E+01	  0.6800000E+00	  0.7180667E-04	  0.1000989E+01	  0.9870675E+00	 -0.4950490E+00	  0.9945797E+00	 -0.3746704E-01	  0.1072942E+00	  0.1134667E+01
  0.2940000E+00	  0.9187627E+00	  0.9187868E+00	  0.5381752E+00	 -0.3475613E+01	  0.6800000E+00	  0.7227548E-04	  0.1000991E+01	  0.9869754E+00	 -0.4952307E+00	  0.9945422E+00	 -0.3751946E-01	  0.1081097E+00	  0.1135476E+01
  0.2950000E+00	  0.9182604E+00	  0.9183494E+00	  0.5346985E+00	 -0.3477486E+01	  0.6800000E+00	  0.7274559E-04	  0.1000993E+01	  0.9868827E+00	 -0.4954132E+00	  0.9945046E+00	 -0.3757118E-01	  0.1089288E+00	  0.1136287E+01
  0.2960000E+00	  0.9177553E+00	  0.9179115E+00	  0.5312202E+00	 -0.3479019E+01	  0.6800000E+00	  0.7321699E-04	  0.1000995E+01	  0.9867896E+00	 -0.4955966E+00	  0.9944670E+00	 -0.3762219E-01	  0.1097516E+00	  0.1137100E+01
  0.2970000E+00	  0.9172474E+00	  0.9174729E+00	  0.5277405E+00	 -0.3480212E+01	  0.6800000E+00	  0.7368968E-04	  0.1000997E+01	  0.9866960E+00	 -0.4957807E+00	  0.9944294E+00	 -0.3767249E-01	  0.1105780E+00	  0.1137916E+01
  0.2980000E+00	  0.9167366E+00	  0.9170336E+00	  0.5242598E+00	 -0.3481065E+01	  0.6800000E+00	  0.7416365E-04	  0.1000998E+01	  0.9866019E+00	 -0.4959657E+00	  0.9943917E+00	 -0.3772207E-01	  0.1114080E+00	  0.1138734E+01
  0.2990000E+00	  0.9162231E+00	  0.9165937E+00	  0.5207784E+00	 -0.3481577E+01	  0.6800000E+00	  0.7463891E-04	  0.1001000E+01	  0.9865072E+00	 -0.4961516E+00	  0.9943539E+00	 -0.3777095E-01	  0.1122418E+00	  0.1139553E+01
  0.3000000E+00	  0.9157066E+00	  0.9161531E+00	  0.5172966E+00	 -0.3481747E+01	  0.6800000E+00	  0.7511544E-04	  0.1001002E+01	  0.9864120E+00	 -0.4963382E+00	  0.9943161E+00	 -0.3781911E-01	  0.1130791E+00	  0.1140376E+01
  0.3010000E+00	  0.9151873E+00	  0.9157119E+00	  0.5138149E+00	 -0.3481577E+01	  0.6800000E+00	  0.7559325E-04	  0.1001004E+01	  0.9863164E+00	 -0.4965257E+00	  0.9942783E+00	 -0.3786655E-01	  0.1139202E+00	  0.1141200E+01
  0.3020000E+00	  0.9146651E+00	  0.9152701E+00	  0.5103335E+00	 -0.3481065E+01	  0.6800000E+00	  0.7607234E-04	  0.1001006E+01	  0.9862201E+00	 -0.4967141E+00	  0.9942404E+00	 -0.3791328E-01	  0.1147649E+00	  0.1142026E+01
  0.3030000E+00	  0.9141400E+00	  0.9148275E+00	  0.5068528E+00	 -0.3480212E+01	  0.6800000E+00	  0.7655269E-04	  0.1001008E+01	  0.9861234E+00	 -0.4969032E+00	  0.9942025E+00	 -0.3795929E-01	  0.1156133E+00	  0.1142855E+01
  0.3040000E+00	  0.9136119E+00	  0.9143844E+00	  0.5033731E+00	 -0.3479019E+01	  0.6800000E+00	  0.7703431E-04	  0.1001010E+01	  0.9860261E+00	 -0.4970933E+00	  0.9941645E+00	 -0.3800458E-01	  0.1164654E+00	  0.1143686E+01
  0.3050000E+00	  0.9130810E+00	  0.9139405E+00	  0.4998947E+00	 -0.3477486E+01	  0.6800000E+00	  0.7751719E-04	  0.1001012E+01	  0.9859283E+00	 -0.4972841E+00	  0.9941265E+00	 -0.3804915E-01	  0.1173211E+00	  0.1144519E+01
  0.3060000E+00	  0.9125471E+00	  0.9134961E+00	  0.4964181E+00	 -0.3475613E+01	  0.6800000E+00	  0.7800134E-04	  0.1001014E+01	  0.9858299E+00	 -0.4974758E+00	  0.9940884E+00	 -0.3809299E-01	  0.1181805E+00	  0.1145355E+01
  0.3070000E+00	  0.9120103E+00	  0.9130509E+00	  0.4929435E+00	 -0.3473401E+01	  0.6800000E+00	  0.7848674E-04	  0.1001016E+01	  0.9857310E+00	 -0.4976684E+00	  0.9940503E+00	 -0.3813612E-01	  0.1190437E+00	  0.1146192E+01
  0.3080000E+00	  0.9114705E+00	  0.9126051E+00	  0.4894713E+00	 -0.3470852E+01	  0.6800000E+00	  0.7897339E-04	  0.1001018E+01	  0.9856315E+00	 -0.4978618E+00	  0.9940121E+00	 -0.3817852E-01	  0.1199104E+00	  0.1147032E+01
  0.3090000E+00	  0.9109277E+00	  0.9121586E+00	  0.4860018E+00	 -0.3467965E+01	  0.6800000E+00	  0.7946129E-04	  0.1001020E+01	  0.9855315E+00	 -0.4980560E+00	  0.9939739E+00	 -0.3822019E-01	  0.1207809E+00	  0.1147875E+01
  0.3100000E+00	  0.9103819E+00	  0.9117115E+00	  0.4825353E+00	 -0.3464743E+01	  0.6800000E+00	  0.7995044E-04	  0.1001022E+01	  0.9854309E+00	 -0.4982512E+00	  0.9939357E+00	 -0.3826114E-01	  0.1216551E+00	  0.1148719E+01
  0.3110000E+00	  0.9098332E+00	  0.9112637E+00	  0.4790723E+00	 -0.3461186E+01	  0.6800000E+00	  0.8044084E-04	  0.1001024E+01	  0.9853297E+00	 -0.4984471E+00	  0.9938974E+00	 -0.3830136E-01	  0.1225330E+00	  0.1149566E+01
  0.3120000E+00	  0.9092814E+00	  0.9108152E+00	  0.4756130E+00	 -0.3457296E+01	  0.6800000E+00	  0.8093248E-04	  0.1001026E+01	  0.9852279E+00	 -0.4986439E+00	  0.9938591E+00	 -0.3834086E-01	  0.1234146E+00	  0.1150415E+01
  0.3130000E+00	  0.9087267E+00	  0.9103660E+00	  0.4721577E+00	 -0.3453075E+01	  0.6800000E+00	  0.8142535E-04	  0.1001028E+01	  0.9851256E+00	 -0.4988416E+00	  0.9938207E+00	 -0.3837962E-01	  0.1242998E+00	  0.1151267E+01
  0.3140000E+00	  0.9081689E+00	  0.9099162E+00	  0.4687068E+00	 -0.3448523E+01	  0.6800000E+00	  0.8191946E-04	  0.1001030E+01	  0.9850227E+00	 -0.4990401E+00	  0.9937823E+00	 -0.3841765E-01	  0.1251888E+00	  0.1152121E+01
  0.3150000E+00	  0.9076080E+00	  0.9094656E+00	  0.4652607E+00	 -0.3443643E+01	  0.6800000E+00	  0.8241479E-04	  0.1001032E+01	  0.9849191E+00	 -0.4992395E+00	  0.9937439E+00	 -0.3845495E-01	  0.1260815E+00	  0.1152977E+01
  0.3160000E+00	  0.9070442E+00	  0.9090144E+00	  0.4618195E+00	 -0.3438437E+01	  0.6800000E+00	  0.8291136E-04	  0.1001034E+01	  0.9848150E+00	 -0.4994398E+00	  0.9937054E+00	 -0.3849152E-01	  0.1269779E+00	  0.1153835E+01
  0.3170000E+00	  0.9064773E+00	  0.9085625E+00	  0.4583838E+00	 -0.3432906E+01	  0.6800000E+00	  0.8340915E-04	  0.1001037E+01	  0.9847103E+00	 -0.4996409E+00	  0.9936669E+00	 -0.3852737E-01	  0.1278778E+00	  0.1154696E+01
  0.3180000E+00	  0.9059074E+00	  0.9081099E+00	  0.4549537E+00	 -0.3427054E+01	  0.6800000E+00	  0.8390816E-04	  0.1001039E+01	  0.9846050E+00	 -0.4998429E+00	  0.9936283E+00	 -0.3856250E-01	  0.1287812E+00	  0.1155560E+01
  0.3190000E+00	  0.9053344E+00	  0.9076567E+00	  0.4515297E+00	 -0.3420881E+01	  0.6800000E+00	  0.8440839E-04	  0.1001041E+01	  0.9844990E+00	 -0.5000457E+00	  0.9935898E+00	 -0.3859694E-01	  0.1296879E+00	  0.1156425E+01
  0.3200000E+00	  0.9047583E+00	  0.9072027E+00	  0.4481120E+00	 -0.3414390E+01	  0.6800000E+00	  0.8490983E-04	  0.1001043E+01	  0.9843924E+00	 -0.5002495E+00	  0.9935512E+00	 -0.3863067E-01	  0.1305979E+00	  0.1157293E+01
  0.3210000E+00	  0.9041792E+00	  0.9067480E+00	  0.4447009E+00	 -0.3407585E+01	  0.6800000E+00	  0.8541249E-04	  0.1001045E+01	  0.9842852E+00	 -0.5004541E+00	  0.9935125E+00	 -0.3866369E-01	  0.1315112E+00	  0.1158164E+01
  0.3220000E+00	  0.9035970E+00	  0.9062926E+00	  0.4412968E+00	 -0.3400466E+01	  0.6800000E+00	  0.8591635E-04	  0.1001047E+01	  0.9841774E+00	 -0.5006595E+00	  0.9934738E+00	 -0.3869601E-01	  0.1324279E+00	  0.1159037E+01
  0.3230000E+00	  0.9030117E+00	  0.9058366E+00	  0.4379000E+00	 -0.3393038E+01	  0.6800000E+00	  0.8642141E-04	  0.1001049E+01	  0.9840689E+00	 -0.5008659E+00	  0.9934351E+00	 -0.3872763E-01	  0.1333478E+00	  0.1159913E+01
  0.3240000E+00	  0.9024234E+00	  0.9053798E+00	  0.4345107E+00	 -0.3385303E+01	  0.6800000E+00	  0.8692768E-04	  0.1001052E+01	  0.9839597E+00	 -0.5010731E+00	  0.9933964E+00	 -0.3875854E-01	  0.1342711E+00	  0.1160790E+01
  0.3250000E+00	  0.9018320E+00	  0.9049223E+00	  0.4311294E+00	 -0.3377264E+01	  0.6800000E+00	  0.8743515E-04	  0.1001054E+01	  0.9838499E+00	 -0.5012812E+00	  0.9933576E+00	 -0.3878874E-01	  0.1351976E+00	  0.1161671E+01
