        r	      denseq	       teeq	       nfeq	     dnfeqdr	      vfova	      cureq	       feq	    pressure	       iota	        1/D	    curvature	      shear	     eta
  0.2100000E-01	  0.9993308E+00	  0.9994426E+00	  0.9950758E+00	 -0.2692895E+00	  0.6800000E+00	  0.3853241E-06	  0.1000735E+01	  0.9999317E+00	 -0.4748209E+00	  0.1000746E+01	 -0.3246870E-02	  0.2110054E-03	  0.1000837E+01
  0.2200000E-01	  0.9992658E+00	  0.9993884E+00	  0.9948047E+00	 -0.2729342E+00	  0.6800000E+00	  0.4228863E-06	  0.1000735E+01	  0.9999250E+00	 -0.4748258E+00	  0.1000743E+01	 -0.3401479E-02	  0.2317691E-03	  0.1000918E+01
  0.2300000E-01	  0.9991980E+00	  0.9993317E+00	  0.9945299E+00	 -0.2766262E+00	  0.6800000E+00	  0.4621938E-06	  0.1000735E+01	  0.9999181E+00	 -0.4748309E+00	  0.1000739E+01	 -0.3556086E-02	  0.2535349E-03	  0.1001003E+01
  0.2400000E-01	  0.9991272E+00	  0.9992725E+00	  0.9942515E+00	 -0.2803659E+00	  0.6800000E+00	  0.5032465E-06	  0.1000735E+01	  0.9999108E+00	 -0.4748362E+00	  0.1000735E+01	 -0.3710693E-02	  0.2763077E-03	  0.1001092E+01
  0.2500000E-01	  0.9990534E+00	  0.9992107E+00	  0.9939692E+00	 -0.2841539E+00	  0.6800000E+00	  0.5460440E-06	  0.1000735E+01	  0.9999032E+00	 -0.4748418E+00	  0.1000732E+01	 -0.3865298E-02	  0.3000929E-03	  0.1001185E+01
  0.2600000E-01	  0.9989768E+00	  0.9991465E+00	  0.9936831E+00	 -0.2879908E+00	  0.6800000E+00	  0.5905861E-06	  0.1000735E+01	  0.9998953E+00	 -0.4748476E+00	  0.1000728E+01	 -0.4019902E-02	  0.3248958E-03	  0.1001282E+01
  0.2700000E-01	  0.9988972E+00	  0.9990799E+00	  0.9933932E+00	 -0.2918771E+00	  0.6800000E+00	  0.6368726E-06	  0.1000736E+01	  0.9998871E+00	 -0.4748537E+00	  0.1000724E+01	 -0.4174504E-02	  0.3507224E-03	  0.1001382E+01
  0.2800000E-01	  0.9988147E+00	  0.9990107E+00	  0.9930994E+00	 -0.2958135E+00	  0.6800000E+00	  0.6849031E-06	  0.1000736E+01	  0.9998786E+00	 -0.4748600E+00	  0.1000719E+01	 -0.4329105E-02	  0.3775785E-03	  0.1001486E+01
  0.2900000E-01	  0.9987293E+00	  0.9989390E+00	  0.9928016E+00	 -0.2998004E+00	  0.6800000E+00	  0.7346774E-06	  0.1000736E+01	  0.9998698E+00	 -0.4748665E+00	  0.1000715E+01	 -0.4483703E-02	  0.4054703E-03	  0.1001594E+01
  0.3000000E-01	  0.9986411E+00	  0.9988649E+00	  0.9924998E+00	 -0.3038385E+00	  0.6800000E+00	  0.7861952E-06	  0.1000736E+01	  0.9998606E+00	 -0.4748733E+00	  0.1000710E+01	 -0.4638299E-02	  0.4344044E-03	  0.1001705E+01
  0.3100000E-01	  0.9985499E+00	  0.9987883E+00	  0.9921939E+00	 -0.3079284E+00	  0.6800000E+00	  0.8394561E-06	  0.1000736E+01	  0.9998512E+00	 -0.4748803E+00	  0.1000706E+01	 -0.4792892E-02	  0.4643875E-03	  0.1001820E+01
  0.3200000E-01	  0.9984559E+00	  0.9987093E+00	  0.9918839E+00	 -0.3120706E+00	  0.6800000E+00	  0.8944599E-06	  0.1000737E+01	  0.9998414E+00	 -0.4748875E+00	  0.1000701E+01	 -0.4947483E-02	  0.4954265E-03	  0.1001939E+01
  0.3300000E-01	  0.9983591E+00	  0.9986278E+00	  0.9915698E+00	 -0.3162657E+00	  0.6800000E+00	  0.9512063E-06	  0.1000737E+01	  0.9998314E+00	 -0.4748950E+00	  0.1000696E+01	 -0.5102070E-02	  0.5275288E-03	  0.1002062E+01
  0.3400000E-01	  0.9982594E+00	  0.9985438E+00	  0.9912514E+00	 -0.3205144E+00	  0.6800000E+00	  0.1009695E-05	  0.1000737E+01	  0.9998210E+00	 -0.4749027E+00	  0.1000691E+01	 -0.5256655E-02	  0.5607017E-03	  0.1002188E+01
  0.3500000E-01	  0.9981569E+00	  0.9984574E+00	  0.9909287E+00	 -0.3248173E+00	  0.6800000E+00	  0.1069925E-05	  0.1000737E+01	  0.9998103E+00	 -0.4749106E+00	  0.1000685E+01	 -0.5411235E-02	  0.5949530E-03	  0.1002318E+01
  0.3600000E-01	  0.9980516E+00	  0.9983685E+00	  0.9906018E+00	 -0.3291749E+00	  0.6800000E+00	  0.1131897E-05	  0.1000737E+01	  0.9997993E+00	 -0.4749188E+00	  0.1000680E+01	 -0.5565812E-02	  0.6302908E-03	  0.1002452E+01
  0.3700000E-01	  0.9979435E+00	  0.9982772E+00	  0.9902704E+00	 -0.3335879E+00	  0.6800000E+00	  0.1195610E-05	  0.1000738E+01	  0.9997880E+00	 -0.4749273E+00	  0.1000674E+01	 -0.5720384E-02	  0.6667234E-03	  0.1002590E+01
  0.3800000E-01	  0.9978326E+00	  0.9981834E+00	  0.9899346E+00	 -0.3380568E+00	  0.6800000E+00	  0.1261063E-05	  0.1000738E+01	  0.9997764E+00	 -0.4749359E+00	  0.1000668E+01	 -0.5874951E-02	  0.7042593E-03	  0.1002731E+01
  0.3900000E-01	  0.9977190E+00	  0.9980872E+00	  0.9895943E+00	 -0.3425824E+00	  0.6800000E+00	  0.1328257E-05	  0.1000738E+01	  0.9997645E+00	 -0.4749449E+00	  0.1000662E+01	 -0.6029513E-02	  0.7429073E-03	  0.1002876E+01
  0.4000000E-01	  0.9976026E+00	  0.9979886E+00	  0.9892494E+00	 -0.3471652E+00	  0.6800000E+00	  0.1397191E-05	  0.1000738E+01	  0.9997523E+00	 -0.4749540E+00	  0.1000656E+01	 -0.6184070E-02	  0.7826765E-03	  0.1003025E+01
  0.4100000E-01	  0.9974834E+00	  0.9978876E+00	  0.9889000E+00	 -0.3518058E+00	  0.6800000E+00	  0.1467864E-05	  0.1000739E+01	  0.9997398E+00	 -0.4749634E+00	  0.1000650E+01	 -0.6338620E-02	  0.8235764E-03	  0.1003177E+01
  0.4200000E-01	  0.9973616E+00	  0.9977841E+00	  0.9885458E+00	 -0.3565050E+00	  0.6800000E+00	  0.1540277E-05	  0.1000739E+01	  0.9997269E+00	 -0.4749731E+00	  0.1000644E+01	 -0.6493164E-02	  0.8656166E-03	  0.1003333E+01
  0.4300000E-01	  0.9972370E+00	  0.9976782E+00	  0.9881869E+00	 -0.3612633E+00	  0.6800000E+00	  0.1614428E-05	  0.1000739E+01	  0.9997138E+00	 -0.4749830E+00	  0.1000637E+01	 -0.6647702E-02	  0.9088070E-03	  0.1003493E+01
  0.4400000E-01	  0.9971097E+00	  0.9975700E+00	  0.9878233E+00	 -0.3660814E+00	  0.6800000E+00	  0.1690317E-05	  0.1000739E+01	  0.9997003E+00	 -0.4749932E+00	  0.1000630E+01	 -0.6802231E-02	  0.9531579E-03	  0.1003656E+01
  0.4500000E-01	  0.9969797E+00	  0.9974593E+00	  0.9874548E+00	 -0.3709600E+00	  0.6800000E+00	  0.1767944E-05	  0.1000740E+01	  0.9996865E+00	 -0.4750036E+00	  0.1000623E+01	 -0.6956753E-02	  0.9986799E-03	  0.1003823E+01
  0.4600000E-01	  0.9968471E+00	  0.9973462E+00	  0.9870814E+00	 -0.3758996E+00	  0.6800000E+00	  0.1847308E-05	  0.1000740E+01	  0.9996725E+00	 -0.4750143E+00	  0.1000616E+01	 -0.7111266E-02	  0.1045384E-02	  0.1003994E+01
  0.4700000E-01	  0.9967119E+00	  0.9972308E+00	  0.9867030E+00	 -0.3809010E+00	  0.6800000E+00	  0.1928409E-05	  0.1000740E+01	  0.9996581E+00	 -0.4750252E+00	  0.1000609E+01	 -0.7265770E-02	  0.1093281E-02	  0.1004168E+01
  0.4800000E-01	  0.9965740E+00	  0.9971129E+00	  0.9863196E+00	 -0.3859647E+00	  0.6800000E+00	  0.2011246E-05	  0.1000740E+01	  0.9996434E+00	 -0.4750364E+00	  0.1000602E+01	 -0.7420265E-02	  0.1142382E-02	  0.1004346E+01
  0.4900000E-01	  0.9964335E+00	  0.9969927E+00	  0.9859311E+00	 -0.3910916E+00	  0.6800000E+00	  0.2095819E-05	  0.1000741E+01	  0.9996284E+00	 -0.4750478E+00	  0.1000594E+01	 -0.7574748E-02	  0.1192699E-02	  0.1004528E+01
  0.5000000E-01	  0.9962904E+00	  0.9968702E+00	  0.9855374E+00	 -0.3962822E+00	  0.6800000E+00	  0.2182128E-05	  0.1000741E+01	  0.9996131E+00	 -0.4750595E+00	  0.1000587E+01	 -0.7729221E-02	  0.1244245E-02	  0.1004713E+01
  0.5100000E-01	  0.9961447E+00	  0.9967452E+00	  0.9851385E+00	 -0.4015372E+00	  0.6800000E+00	  0.2270171E-05	  0.1000741E+01	  0.9995975E+00	 -0.4750715E+00	  0.1000579E+01	 -0.7883682E-02	  0.1297031E-02	  0.1004902E+01
  0.5200000E-01	  0.9959965E+00	  0.9966179E+00	  0.9847343E+00	 -0.4068572E+00	  0.6800000E+00	  0.2359948E-05	  0.1000742E+01	  0.9995815E+00	 -0.4750837E+00	  0.1000571E+01	 -0.8038131E-02	  0.1351071E-02	  0.1005095E+01
  0.5300000E-01	  0.9958458E+00	  0.9964883E+00	  0.9843248E+00	 -0.4122431E+00	  0.6800000E+00	  0.2451459E-05	  0.1000742E+01	  0.9995653E+00	 -0.4750961E+00	  0.1000563E+01	 -0.8192567E-02	  0.1406377E-02	  0.1005291E+01
  0.5400000E-01	  0.9956925E+00	  0.9963563E+00	  0.9839098E+00	 -0.4176954E+00	  0.6800000E+00	  0.2544704E-05	  0.1000742E+01	  0.9995488E+00	 -0.4751089E+00	  0.1000555E+01	 -0.8346988E-02	  0.1462962E-02	  0.1005491E+01
  0.5500000E-01	  0.9955367E+00	  0.9962220E+00	  0.9834894E+00	 -0.4232148E+00	  0.6800000E+00	  0.2639681E-05	  0.1000743E+01	  0.9995319E+00	 -0.4751219E+00	  0.1000546E+01	 -0.8501395E-02	  0.1520841E-02	  0.1005694E+01
  0.5600000E-01	  0.9953784E+00	  0.9960853E+00	  0.9830634E+00	 -0.4288021E+00	  0.6800000E+00	  0.2736389E-05	  0.1000743E+01	  0.9995148E+00	 -0.4751352E+00	  0.1000538E+01	 -0.8655786E-02	  0.1580027E-02	  0.1005901E+01
  0.5700000E-01	  0.9952177E+00	  0.9959463E+00	  0.9826318E+00	 -0.4344578E+00	  0.6800000E+00	  0.2834830E-05	  0.1000743E+01	  0.9994973E+00	 -0.4751487E+00	  0.1000529E+01	 -0.8810161E-02	  0.1640535E-02	  0.1006111E+01
  0.5800000E-01	  0.9950545E+00	  0.9958051E+00	  0.9821945E+00	 -0.4401828E+00	  0.6800000E+00	  0.2935001E-05	  0.1000744E+01	  0.9994795E+00	 -0.4751625E+00	  0.1000520E+01	 -0.8964518E-02	  0.1702379E-02	  0.1006326E+01
  0.5900000E-01	  0.9948888E+00	  0.9956615E+00	  0.9817514E+00	 -0.4459777E+00	  0.6800000E+00	  0.3036902E-05	  0.1000744E+01	  0.9994614E+00	 -0.4751766E+00	  0.1000511E+01	 -0.9118857E-02	  0.1765575E-02	  0.1006543E+01
  0.6000000E-01	  0.9947208E+00	  0.9955156E+00	  0.9813025E+00	 -0.4518433E+00	  0.6800000E+00	  0.3140533E-05	  0.1000744E+01	  0.9994431E+00	 -0.4751909E+00	  0.1000502E+01	 -0.9273177E-02	  0.1830137E-02	  0.1006765E+01
  0.6100000E-01	  0.9945504E+00	  0.9953674E+00	  0.9808477E+00	 -0.4577801E+00	  0.6800000E+00	  0.3245894E-05	  0.1000745E+01	  0.9994244E+00	 -0.4752056E+00	  0.1000492E+01	 -0.9427476E-02	  0.1896082E-02	  0.1006989E+01
  0.6200000E-01	  0.9943776E+00	  0.9952169E+00	  0.9803870E+00	 -0.4637890E+00	  0.6800000E+00	  0.3352982E-05	  0.1000745E+01	  0.9994054E+00	 -0.4752205E+00	  0.1000483E+01	 -0.9581754E-02	  0.1963426E-02	  0.1007218E+01
  0.6300000E-01	  0.9942025E+00	  0.9950642E+00	  0.9799201E+00	 -0.4698706E+00	  0.6800000E+00	  0.3461798E-05	  0.1000746E+01	  0.9993861E+00	 -0.4752357E+00	  0.1000473E+01	 -0.9736010E-02	  0.2032185E-02	  0.1007450E+01
  0.6400000E-01	  0.9940250E+00	  0.9949092E+00	  0.9794472E+00	 -0.4760256E+00	  0.6800000E+00	  0.3572341E-05	  0.1000746E+01	  0.9993664E+00	 -0.4752511E+00	  0.1000463E+01	 -0.9890242E-02	  0.2102376E-02	  0.1007685E+01
  0.6500000E-01	  0.9938453E+00	  0.9947519E+00	  0.9789681E+00	 -0.4822549E+00	  0.6800000E+00	  0.3684611E-05	  0.1000746E+01	  0.9993465E+00	 -0.4752669E+00	  0.1000453E+01	 -0.1004445E-01	  0.2174017E-02	  0.1007924E+01
  0.6600000E-01	  0.9936632E+00	  0.9945924E+00	  0.9784827E+00	 -0.4885590E+00	  0.6800000E+00	  0.3798606E-05	  0.1000747E+01	  0.9993263E+00	 -0.4752829E+00	  0.1000443E+01	 -0.1019863E-01	  0.2247124E-02	  0.1008167E+01
  0.6700000E-01	  0.9934789E+00	  0.9944307E+00	  0.9779910E+00	 -0.4949387E+00	  0.6800000E+00	  0.3914327E-05	  0.1000747E+01	  0.9993058E+00	 -0.4752993E+00	  0.1000433E+01	 -0.1035279E-01	  0.2321717E-02	  0.1008413E+01
  0.6800000E-01	  0.9932923E+00	  0.9942667E+00	  0.9774928E+00	 -0.5013947E+00	  0.6800000E+00	  0.4031772E-05	  0.1000748E+01	  0.9992849E+00	 -0.4753159E+00	  0.1000423E+01	 -0.1050691E-01	  0.2397813E-02	  0.1008662E+01
  0.6900000E-01	  0.9931035E+00	  0.9941005E+00	  0.9769882E+00	 -0.5079278E+00	  0.6800000E+00	  0.4150940E-05	  0.1000748E+01	  0.9992638E+00	 -0.4753328E+00	  0.1000412E+01	 -0.1066101E-01	  0.2475431E-02	  0.1008915E+01
  0.7000000E-01	  0.9929126E+00	  0.9939320E+00	  0.9764770E+00	 -0.5145386E+00	  0.6800000E+00	  0.4271831E-05	  0.1000748E+01	  0.9992423E+00	 -0.4753500E+00	  0.1000401E+01	 -0.1081508E-01	  0.2554591E-02	  0.1009171E+01
  0.7100000E-01	  0.9927194E+00	  0.9937614E+00	  0.9759591E+00	 -0.5212280E+00	  0.6800000E+00	  0.4394445E-05	  0.1000749E+01	  0.9992206E+00	 -0.4753675E+00	  0.1000390E+01	 -0.1096911E-01	  0.2635312E-02	  0.1009431E+01
  0.7200000E-01	  0.9925240E+00	  0.9935885E+00	  0.9754345E+00	 -0.5279965E+00	  0.6800000E+00	  0.4518780E-05	  0.1000749E+01	  0.9991985E+00	 -0.4753853E+00	  0.1000379E+01	 -0.1112311E-01	  0.2717614E-02	  0.1009695E+01
  0.7300000E-01	  0.9923266E+00	  0.9934135E+00	  0.9749031E+00	 -0.5348451E+00	  0.6800000E+00	  0.4644836E-05	  0.1000750E+01	  0.9991761E+00	 -0.4754034E+00	  0.1000368E+01	 -0.1127708E-01	  0.2801518E-02	  0.1009962E+01
  0.7400000E-01	  0.9921270E+00	  0.9932363E+00	  0.9743648E+00	 -0.5417742E+00	  0.6800000E+00	  0.4772611E-05	  0.1000750E+01	  0.9991534E+00	 -0.4754218E+00	  0.1000357E+01	 -0.1143101E-01	  0.2887044E-02	  0.1010232E+01
