r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.81,3.00950725e-05,0.000787673891,0.00240249297,0.00423374588,0.00448107094,0.00113247468,0.00469773307,-0.303145771,0.071962098,-0.0616743032,-6.53369317e-06,-0.000157165504,-0.000372669113,-0.000177152379,0.00190316982,0.0104036131,0.0338636716,0.0962645801,0.0373699544,0.00241158781
0.811,-2.06363456e-05,0.000666363183,0.00217979191,0.00392518779,0.00431333308,0.0031450264,0.0295724796,-0.0194048504,0.0239265106,-0.0988225877,1.03742557e-05,-0.000113893205,-0.000273175288,6.36617746e-05,0.00258752648,0.0126164197,0.040152699,0.0997981826,0.0291228061,0.00839246933
0.812,-0.000114588875,0.000419979943,0.00160385838,0.00260877609,0.00115203169,-0.00472921757,0.0212951245,0.28307203,0.120721681,-0.153318237,2.14874353e-05,-8.38114735e-05,-0.000201124848,0.000264506053,0.00331086107,0.0157487378,0.0538816494,0.133728589,-0.00385403427,0.0115798311
0.813,-0.00024417711,6.66990531e-05,0.000707783102,0.000307362709,-0.00522122298,-0.0246132421,-0.0365758916,0.468846455,0.442254532,-0.211935071,1.74471798e-05,-9.51354203e-05,-0.00023989142,0.00017997438,0.00334143158,0.0174848456,0.0684631304,0.215723542,-0.0399720463,0.00443267484
0.814,-0.000379583371,-0.000311587957,-0.000298205149,-0.00246259104,-0.0136120769,-0.0542239258,-0.147437009,0.372264432,0.999418918,-0.245399896,-8.052245e-06,-0.000168205298,-0.000455611532,-0.000409475886,0.0019258467,0.0149491358,0.0724445444,0.330190605,-0.0302074506,-0.0173105228
0.815,-0.000469459881,-0.000568975062,-0.00101632049,-0.00462492813,-0.0210833521,-0.0851523764,-0.291815443,-0.133687852,1.66857557,-0.211052158,-5.23601751e-05,-0.000297944338,-0.000845873031,-0.00154805028,-0.00126679006,0.00614970576,0.0540570798,0.419123106,0.08066552,-0.0490282542
0.816,-0.000453655107,-0.000529500938,-0.000944722371,-0.00473311707,-0.0233243465,-0.103210892,-0.422740679,-1.04427702,2.15805631,-0.0673982108,-9.97474189e-05,-0.000440752298,-0.00129767058,-0.00296774015,-0.00568552606,-0.00828538089,0.00819812063,0.396865325,0.312800146,-0.0731834631
0.817,-0.000287556722,-5.68752519e-05,0.000333082861,-0.00147576525,-0.0159830947,-0.0920886319,-0.472662093,-2.14414828,2.05767273,0.197371624,-0.000122740107,-0.000516692948,-0.00158620657,-0.00405517508,-0.00968574633,-0.0239171445,-0.0566419793,0.19239576,0.605574074,-0.0611906328
0.818,2.95673173e-05,0.00086012536,0.00290232004,0.00561448814,0.00324137094,-0.0401451929,-0.375050987,-3.00017845,1.00404383,0.530630023,-9.09770676e-05,-0.000434165591,-0.00143864331,-0.00400272877,-0.0108372875,-0.0328804251,-0.115627066,-0.193177322,0.798576071,0.0148280942
0.819,0.000435309173,0.00204479246,0.00631953975,0.0155344273,0.0325081233,0.0518058069,-0.0963297299,-3.07081945,-1.06527031,0.793567491,1.3998858e-05,-0.000133808774,-0.000658572,-0.00215000068,-0.00684555114,-0.0264316098,-0.13277655,-0.643523989,0.672686877,0.160747186
0.82,0.000807021764,0.0031340803,0.00958828562,0.0256290099,0.0648477136,0.165322165,0.333760078,-1.92815061,-3.67340131,0.777576293,0.000184004552,0.000364964338,0.0007320203,0.00159049735,0.00315007639,0.000766567602,-0.0749620294,-0.933702771,0.0627814572,0.33762203
0.821,0.000991717227,0.00366572854,0.0113846739,0.0321221284,0.0892411286,0.265587045,0.809873062,0.480215389,-5.74195409,0.276009888,0.000377632317,0.000939978346,0.00240679683,0.00642911176,0.0174783159,0.046303085,0.0693317731,-0.806901265,-0.991507005,0.453004461
0.822,0.000854933009,0.00323070083,0.0104912366,0.0313090558,0.0938563782,0.310607533,1.16960366,3.66000462,-5.83892001,-0.799339092,0.000527448829,0.00138492254,0.00377152247,0.0107281493,0.0317209268,0.0980509519,0.275219849,-0.104457388,-2.13869095,0.382252571
0.823,0.000332302418,0.00163912866,0.00629176724,0.0210201211,0.0704596095,0.265890867,1.24191849,6.60947,-2.73682814,-2.30081138,0.000560627958,0.00147239035,0.00413851354,0.0124469098,0.0397489327,0.136322662,0.479718302,1.1083374,-2.74478241,0.0238523545
0.824,-0.000534249956,-0.000961035987,-0.000856451597,0.00181242957,0.0184392433,0.119445977,0.910762892,8.10300911,3.89176558,-3.78807221,0.000426875504,0.00104342566,0.00299303457,0.00990053566,0.0358516411,0.140158034,0.597487398,2.49218739,-2.10518867,-0.626342138
0.825,-0.00158967574,-0.00406253426,-0.0095310675,-0.0226092668,-0.0531828527,-0.108650435,0.171239916,7.14288984,12.9418022,-4.58878764,0.0001236732,9.13291113e-05,0.000257447088,0.00257201416,0.0172823533,0.0958954188,0.551131362,3.50776012,0.204456334,-1.41560113
0.826,-0.00259435209,-0.00689707466,-0.0175127922,-0.0460197203,-0.126879005,-0.366663587,-0.845124432,3.40893237,21.82246,-3.99605566,-0.000291389874,-0.00119565462,-0.00355800973,-0.00835574143,-0.0137942637,0.00479045967,0.305756112,3.60786128,3.9799346,-2.03068707
0.827,-0.00328747976,-0.00864621721,-0.0223926543,-0.0613191851,-0.180987772,-0.582947603,-1.88956731,-2.48798729,27.0424521,-1.56098531,-0.000709553488,-0.00246084115,-0.0074081326,-0.0200312533,-0.0499013083,-0.113715506,-0.106130032,2.47910638,8.22875194,-2.07651989
0.828,-0.00347170621,-0.00871964385,-0.0223931921,-0.0628904606,-0.196548058,-0.687301563,-2.66042313,-9.07227777,25.3497407,2.60818104,-0.00100412215,-0.00328531062,-0.010009075,-0.0286812745,-0.0799639889,-0.225481209,-0.581499873,0.232728309,11.3418818,-1.23395572
0.829,-0.00308244533,-0.00699105008,-0.0171035156,-0.0488864942,-0.164627238,-0.636465969,-2.90147917,-14.4193433,15.0993036,7.67374296,-0.00107743834,-0.00334590707,-0.0103139929,-0.0309588724,-0.0930420848,-0.292434262,-0.973278557,-2.55307784,11.6272981,0.547644242
0.83,-0.00220637889,-0.00386614663,-0.00774207921,-0.022293137,-0.0907790099,-0.433060931,-2.50086296,-16.8228813,-2.71227995,12.1749052,-0.000898626436,-0.00255295075,-0.00796446983,-0.0253570894,-0.0827764495,-0.287335242,-1.14253574,-4.99734963,8.05402439,2.91705307
0.831,-0.00104526483,-0.000145343208,0.00322095193,0.00990607747,0.00605670046,-0.127570071,-1.54200041,-15.4484899,-24.3416726,14.4625591,-0.000514093861,-0.00109759171,-0.00348708826,-0.012974947,-0.0503897852,-0.205720915,-1.01502145,-6.24693526,0.868386829,5.15054153
0.832,0.000153561943,0.00325306158,0.0129159281,0.0391177512,0.0999549031,0.198328491,-0.279498148,-10.6640835,-44.3308973,13.3220245,-2.81441058e-05,0.000613668008,0.00186739828,0.00276223646,-0.00467286158,-0.0690384571,-0.614596718,-5.82642232,-8.26698448,6.37686586
