r,dnnbi(m^-3),dne(m^-3),dni(m^-3),tbn(keV),ti(keV),te(keV),vzt_eq(m/s),vth_eq(m/s),vthermalep(m/s),etann(MKS)
0.559,1.212937e+18,2.892822e+19,2.360198e+19,37884.39,830.9155,712.7554,0.00375354,0.0,1905212.0,3.919024
0.56,1.21031e+18,2.89132e+19,2.35882e+19,37870.8,829.177,710.872,0.003746787,0.0,1904870.0,3.934354
0.561,1.207703e+18,2.889816e+19,2.357438e+19,37857.1,827.4415,708.9905,0.003740051,0.0,1904526.0,3.949767
0.562,1.205112e+18,2.888308e+19,2.356053e+19,37843.32,825.7089,707.1109,0.003733333,0.0,1904179.0,3.965264
0.563,1.202535e+18,2.886797e+19,2.354665e+19,37829.52,823.9792,705.2332,0.003726632,0.0,1903832.0,3.980849
0.564,1.199968e+18,2.885283e+19,2.353275e+19,37815.75,822.2524,703.3573,0.003719948,0.0,1903485.0,3.99652
0.565,1.197408e+18,2.883766e+19,2.351882e+19,37802.05,820.5284,701.4833,0.003713282,0.0,1903140.0,4.012281
0.566,1.194849e+18,2.882246e+19,2.350487e+19,37788.48,818.8072,699.6111,0.003706632,0.0,1902799.0,4.028133
0.567,1.19229e+18,2.880722e+19,2.349092e+19,37775.09,817.0888,697.7408,0.003699999,0.0,1902462.0,4.044076
0.568,1.189726e+18,2.879195e+19,2.347695e+19,37761.93,815.3732,695.8724,0.003693384,0.0,1902130.0,4.060113
0.569,1.187154e+18,2.877664e+19,2.346298e+19,37749.05,813.6603,694.0058,0.003686785,0.0,1901806.0,4.076244
0.57,1.18457e+18,2.87613e+19,2.3449e+19,37736.5,811.95,692.141,0.003680203,0.0,1901490.0,4.092473
0.571,1.181972e+18,2.874592e+19,2.343503e+19,37724.31,810.2424,690.2781,0.003673638,0.0,1901182.0,4.108799
0.572,1.179362e+18,2.873051e+19,2.342105e+19,37712.45,808.5373,688.417,0.00366709,0.0,1900883.0,4.125223
0.573,1.176745e+18,2.871507e+19,2.340707e+19,37700.84,806.8349,686.5578,0.003660558,0.0,1900591.0,4.141745
0.574,1.174124e+18,2.869959e+19,2.339308e+19,37689.43,805.135,684.7004,0.003654043,0.0,1900303.0,4.158366
0.575,1.171505e+18,2.868407e+19,2.337907e+19,37678.17,803.4376,682.8449,0.003647545,0.0,1900019.0,4.175084
0.576,1.16889e+18,2.866852e+19,2.336505e+19,37666.98,801.7426,680.9912,0.003641063,0.0,1899737.0,4.191901
0.577,1.166284e+18,2.865294e+19,2.335101e+19,37655.81,800.0502,679.1394,0.003634597,0.0,1899455.0,4.208815
0.578,1.163691e+18,2.863733e+19,2.333694e+19,37644.59,798.3601,677.2894,0.003628148,0.0,1899173.0,4.225827
0.579,1.161115e+18,2.862168e+19,2.332284e+19,37633.28,796.6724,675.4413,0.003621716,0.0,1898887.0,4.242938
0.58,1.15856e+18,2.8606e+19,2.33087e+19,37621.8,794.987,673.595,0.003615299,0.0,1898598.0,4.260146
0.581,1.156029e+18,2.859029e+19,2.329453e+19,37610.12,793.304,671.7506,0.003608899,0.0,1898303.0,4.277452
0.582,1.153517e+18,2.857454e+19,2.328032e+19,37598.29,791.6232,669.908,0.003602514,0.0,1898004.0,4.294858
0.583,1.151021e+18,2.855877e+19,2.326609e+19,37586.38,789.9446,668.0673,0.003596146,0.0,1897704.0,4.312366
0.584,1.148534e+18,2.854296e+19,2.325184e+19,37574.48,788.2683,666.2284,0.003589795,0.0,1897403.0,4.329977
0.585,1.146051e+18,2.852711e+19,2.323757e+19,37562.65,786.5941,664.3914,0.003583459,0.0,1897104.0,4.347693
0.586,1.143568e+18,2.851124e+19,2.32233e+19,37550.96,784.922,662.5562,0.00357714,0.0,1896809.0,4.365516
0.587,1.141078e+18,2.849533e+19,2.320901e+19,37539.5,783.252,660.7229,0.003570837,0.0,1896520.0,4.383448
0.588,1.138577e+18,2.847939e+19,2.319473e+19,37528.34,781.584,658.8914,0.00356455,0.0,1896238.0,4.401492
0.589,1.136059e+18,2.846341e+19,2.318046e+19,37517.55,779.918,657.0618,0.00355828,0.0,1895965.0,4.419648
0.59,1.13352e+18,2.84474e+19,2.31662e+19,37507.2,778.254,655.234,0.003552025,0.0,1895704.0,4.43792
0.591,1.130956e+18,2.843136e+19,2.315196e+19,37497.35,776.5919,653.4081,0.003545787,0.0,1895455.0,4.456308
0.592,1.128369e+18,2.841528e+19,2.313773e+19,37487.93,774.9317,651.584,0.003539566,0.0,1895217.0,4.474814
0.593,1.125767e+18,2.839917e+19,2.31235e+19,37478.88,773.2733,649.7618,0.00353336,0.0,1894988.0,4.493437
0.594,1.123153e+18,2.838302e+19,2.310928e+19,37470.09,771.6168,647.9414,0.00352717,0.0,1894766.0,4.512176
0.595,1.120533e+18,2.836684e+19,2.309506e+19,37461.51,769.962,646.1229,0.003520997,0.0,1894549.0,4.531033
0.596,1.117913e+18,2.835062e+19,2.308082e+19,37453.03,768.309,644.3063,0.003514839,0.0,1894334.0,4.550007
0.597,1.115297e+18,2.833437e+19,2.306658e+19,37444.58,766.6578,642.4914,0.003508697,0.0,1894121.0,4.569098
0.598,1.112691e+18,2.831808e+19,2.305231e+19,37436.08,765.0082,640.6784,0.003502571,0.0,1893906.0,4.588306
0.599,1.1101e+18,2.830176e+19,2.303802e+19,37427.45,763.3603,638.8673,0.003496461,0.0,1893687.0,4.60763
0.6,1.10753e+18,2.82854e+19,2.30237e+19,37418.6,761.714,637.058,0.003490366,0.0,1893463.0,4.627071
0.601,1.104983e+18,2.826901e+19,2.300935e+19,37409.48,760.0693,635.2505,0.003484287,0.0,1893233.0,4.646629
0.602,1.102456e+18,2.825258e+19,2.299496e+19,37400.17,758.4262,633.4449,0.003478223,0.0,1892997.0,4.666306
0.603,1.09994e+18,2.823611e+19,2.298056e+19,37390.75,756.7846,631.6411,0.003472175,0.0,1892758.0,4.686104
0.604,1.097431e+18,2.821961e+19,2.296614e+19,37381.32,755.1445,629.8392,0.003466143,0.0,1892520.0,4.706026
0.605,1.094921e+18,2.820308e+19,2.295171e+19,37371.98,753.5059,628.0391,0.003460126,0.0,1892283.0,4.726073
0.606,1.092404e+18,2.818651e+19,2.293728e+19,37362.83,751.8686,626.2408,0.003454124,0.0,1892052.0,4.746249
0.607,1.089873e+18,2.816991e+19,2.292286e+19,37353.95,750.2328,624.4443,0.003448138,0.0,1891827.0,4.766556
0.608,1.087321e+18,2.815327e+19,2.290845e+19,37345.46,748.5982,622.6497,0.003442168,0.0,1891612.0,4.786996
0.609,1.084742e+18,2.81366e+19,2.289406e+19,37337.44,746.965,620.8569,0.003436213,0.0,1891409.0,4.807571
0.61,1.08213e+18,2.81199e+19,2.28797e+19,37330.0,745.333,619.066,0.003430273,0.0,1891220.0,4.828286
0.611,1.07948e+18,2.810316e+19,2.286537e+19,37323.19,743.7022,617.2769,0.003424349,0.0,1891048.0,4.849141
0.612,1.076795e+18,2.808639e+19,2.285106e+19,37316.95,742.0727,615.4896,0.003418441,0.0,1890890.0,4.870137
0.613,1.074083e+18,2.806959e+19,2.283678e+19,37311.18,740.4442,613.7041,0.003412548,0.0,1890743.0,4.891275
0.614,1.071349e+18,2.805275e+19,2.282251e+19,37305.77,738.8169,611.9205,0.00340667,0.0,1890606.0,4.912554
0.615,1.0686e+18,2.803588e+19,2.280826e+19,37300.63,737.1907,610.1387,0.003400807,0.0,1890476.0,4.933974
0.616,1.065842e+18,2.801898e+19,2.2794e+19,37295.66,735.5656,608.3587,0.003394959,0.0,1890350.0,4.955535
0.617,1.06308e+18,2.800204e+19,2.277975e+19,37290.75,733.9415,606.5806,0.003389126,0.0,1890226.0,4.977238
0.618,1.060322e+18,2.798506e+19,2.276548e+19,37285.8,732.3184,604.8042,0.003383307,0.0,1890100.0,4.999081
0.619,1.057573e+18,2.796805e+19,2.27512e+19,37280.72,730.6962,603.0297,0.003377503,0.0,1889972.0,5.021066
0.62,1.05484e+18,2.7951e+19,2.27369e+19,37275.4,729.075,601.257,0.003371714,0.0,1889837.0,5.043192
0.621,1.052126e+18,2.793392e+19,2.272258e+19,37269.78,727.4547,599.4861,0.003365939,0.0,1889694.0,5.06546
0.622,1.049428e+18,2.79168e+19,2.270823e+19,37263.92,725.8353,597.717,0.003360179,0.0,1889546.0,5.087871
0.623,1.046737e+18,2.789964e+19,2.269388e+19,37257.93,724.2166,595.9498,0.003354433,0.0,1889394.0,5.110429
0.624,1.044049e+18,2.788245e+19,2.267951e+19,37251.9,722.5988,594.1844,0.003348702,0.0,1889241.0,5.133136
0.625,1.041355e+18,2.786523e+19,2.266515e+19,37245.94,720.9817,592.4207,0.003342985,0.0,1889090.0,5.155995
0.626,1.03865e+18,2.784797e+19,2.26508e+19,37240.15,719.3653,590.659,0.003337283,0.0,1888943.0,5.179009
0.627,1.035927e+18,2.783068e+19,2.263646e+19,37234.63,717.7496,588.899,0.003331596,0.0,1888803.0,5.20218
0.628,1.033178e+18,2.781335e+19,2.262214e+19,37229.48,716.1345,587.1408,0.003325924,0.0,1888672.0,5.225512
0.629,1.030398e+18,2.779599e+19,2.260785e+19,37224.8,714.52,585.3845,0.003320266,0.0,1888554.0,5.249007
0.63,1.02758e+18,2.77786e+19,2.25936e+19,37220.7,712.906,583.63,0.003314624,0.0,1888450.0,5.272669
0.631,1.024719e+18,2.776118e+19,2.257939e+19,37217.24,711.2925,581.8773,0.003308997,0.0,1888362.0,5.2965
0.632,1.021818e+18,2.774372e+19,2.256521e+19,37214.36,709.6795,580.1265,0.003303385,0.0,1888289.0,5.320501
0.633,1.018882e+18,2.772623e+19,2.255107e+19,37211.98,708.067,578.3774,0.003297787,0.0,1888228.0,5.344673
0.634,1.015918e+18,2.77087e+19,2.253695e+19,37209.99,706.4548,576.6302,0.003292204,0.0,1888178.0,5.369016
0.635,1.01293e+18,2.769114e+19,2.252285e+19,37208.31,704.843,574.8848,0.003286635,0.0,1888135.0,5.39353
0.636,1.009925e+18,2.767355e+19,2.250877e+19,37206.85,703.2316,573.1412,0.003281081,0.0,1888098.0,5.418216
0.637,1.006906e+18,2.765591e+19,2.24947e+19,37205.51,701.6206,571.3995,0.003275541,0.0,1888064.0,5.443074
