r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.618,0.000156082899,0.000345286292,0.000628657593,0.00177037682,-0.000694595674,-0.000641785998,-0.000368353563,-0.000134486013,-2.76502453e-05,2.01044601e-05,2.15413207e-05,5.36663272e-05,-4.3821302e-06,6.5866767e-05,-0.00129909819,-0.000327057607,-9.71289249e-05,-8.31936933e-06,3.50043809e-06,8.89728097e-06
0.619,0.000154042304,0.000337974218,0.000629072665,0.00177720429,-0.000671961728,-0.000666257363,-0.000384847359,-0.000139835457,-2.77051337e-05,2.09553242e-05,1.93246246e-05,4.98115429e-05,-5.77949896e-06,0.000111132765,-0.00136468716,-0.000344578568,-9.59069668e-05,-4.41966014e-06,4.69213054e-06,8.92447057e-06
0.62,0.000151934485,0.000330566528,0.000629647956,0.0017819124,-0.000648091458,-0.000691656064,-0.000401468936,-0.000144917802,-2.7864385e-05,2.16408169e-05,1.72032238e-05,4.62655209e-05,-6.32747498e-06,0.000158362969,-0.00143174233,-0.000363579601,-9.46188549e-05,-7.94021554e-07,5.36617731e-06,8.90181782e-06
0.621,0.000149741479,0.000323237503,0.000630519964,0.00178435662,-0.000622890063,-0.000718161678,-0.000418076253,-0.000149631337,-2.81855848e-05,2.21355542e-05,1.52926178e-05,4.31057285e-05,-6.04911407e-06,0.000207632952,-0.00149875027,-0.000383978923,-9.32061469e-05,2.46045097e-06,5.45745965e-06,8.87011209e-06
0.622,0.000147446679,0.000316136866,0.000631814222,0.00178446057,-0.000597093799,-0.000745752432,-0.000434455417,-0.000153864675,-2.8714582e-05,2.24227205e-05,1.37339166e-05,4.04362925e-05,-4.88963398e-06,0.000258985056,-0.00156371447,-0.000405979218,-9.16563957e-05,5.22914621e-06,4.92328187e-06,8.8724067e-06
0.623,0.000145037199,0.000309457666,0.000633704101,0.00178211474,-0.000570747756,-0.000774650407,-0.000450416081,-0.000157561873,-2.94946238e-05,2.2511284e-05,1.26476736e-05,3.83021837e-05,-2.86898888e-06,0.000312349022,-0.00162374772,-0.00042938958,-8.98954014e-05,7.43609209e-06,3.74969703e-06,8.94013383e-06
0.624,0.000142534555,0.000303349142,0.000636348503,0.00177725694,-0.000544595191,-0.000804888881,-0.000465704816,-0.000160643242,-3.0541442e-05,2.24150227e-05,1.21623491e-05,3.67799431e-05,6.77519397e-08,0.000367555974,-0.00167547123,-0.000454272993,-8.79512052e-05,9.0078578e-06,1.9811505e-06,9.11301313e-06
0.625,0.000139964398,0.000297981991,0.000639960981,0.00176982168,-0.000518442319,-0.000836695689,-0.000480100618,-0.000163114421,-3.18676542e-05,2.22030166e-05,1.23222422e-05,3.58416099e-05,3.87360592e-06,0.0004242716,-0.00171479016,-0.000480254858,-8.57883937e-05,9.91772337e-06,-3.36923384e-07,9.39317749e-06
0.626,0.000137392004,0.000293466289,0.00064470781,0.00175972584,-0.000492727545,-0.000870092071,-0.000493347548,-0.000164937388,-3.34507122e-05,2.19169591e-05,1.31710932e-05,3.55012855e-05,8.59846526e-06,0.000481980307,-0.0017375456,-0.000507159358,-8.35066165e-05,1.01527113e-05,-3.05837023e-06,9.78846795e-06
0.627,0.000134878514,0.000289920661,0.000650806932,0.00174692911,-0.000466886094,-0.00090521719,-0.000505238444,-0.000166184231,-3.52547919e-05,2.16658853e-05,1.46213709e-05,3.56287804e-05,1.41775961e-05,0.000539954642,-0.00173958158,-0.000534315844,-8.11119361e-05,9.73990112e-06,-6.07986e-06,1.02541727e-05
0.628,0.000132515243,0.000287392894,0.000658364747,0.0017313414,-0.000441006015,-0.000941992498,-0.000515585581,-0.000166851496,-3.72252452e-05,2.14993264e-05,1.65878824e-05,3.61653945e-05,2.066627e-05,0.000597294698,-0.00171760652,-0.000561233775,-7.87708298e-05,8.73716798e-06,-9.17948178e-06,1.07578353e-05
0.629,0.000130366963,0.000285933831,0.00066751087,0.00171300996,-0.000414127541,-0.000980374721,-0.000524291292,-0.000167065939,-3.9277697e-05,2.15121924e-05,1.88714779e-05,3.68786913e-05,2.80062916e-05,0.000652962404,-0.00166935111,-0.000586962423,-7.64955686e-05,7.21793946e-06,-1.22182167e-05,1.12364427e-05
0.63,0.000128508514,0.000285534147,0.000678189824,0.00169190598,-0.00038595881,-0.00102011062,-0.000531324256,-0.00016683803,-4.13511194e-05,2.17464234e-05,2.12704792e-05,3.7667618e-05,3.62491066e-05,0.000705904133,-0.00159437064,-0.000610802841,-7.45155406e-05,5.31177251e-06,-1.49804097e-05,1.16437845e-05
0.631,0.000126908164,0.000286190672,0.000690303893,0.00166822281,-0.000355241366,-0.00106090402,-0.000536814103,-0.000166335442,-4.33473396e-05,2.21922069e-05,2.35844539e-05,3.82536023e-05,4.53624596e-05,0.000755100654,-0.00149384292,-0.000631723874,-7.27876225e-05,3.11535048e-06,-1.73219851e-05,1.19641509e-05
0.632,0.000125539546,0.000287879713,0.000703553666,0.00164202295,-0.000321654557,-0.00110228915,-0.00054091614,-0.00016558106,-4.5222732e-05,2.28575671e-05,2.5570139e-05,3.8564621e-05,5.53743257e-05,0.000799665532,-0.0013711405,-0.000649042325,-7.15842121e-05,8.04713388e-07,-1.91456886e-05,1.21745995e-05
0.633,0.000124048911,0.000290583794,0.000717433567,0.00161368297,-0.000284398992,-0.00114374415,-0.000544120072,-0.000164809594,-4.69703677e-05,2.34553761e-05,2.71818591e-05,3.84146488e-05,6.63102033e-05,0.000838930655,-0.00123096784,-0.000661851942,-7.07041931e-05,-1.5168189e-06,-2.03234653e-05,1.23689128e-05
0.634,0.000122137816,0.000294287308,0.000731356269,0.00158334031,-0.000243644799,-0.00118478521,-0.000546710678,-0.000164183919,-4.85547722e-05,2.38191506e-05,2.82409894e-05,3.77487634e-05,7.82458802e-05,0.000872305621,-0.00107958796,-0.000669914925,-7.03462909e-05,-3.76646952e-06,-2.09375947e-05,1.25497223e-05
0.635,0.000120199301,0.000298715118,0.00074528914,0.00155152134,-0.000198607825,-0.00122479034,-0.000548947557,-0.000163690577,-4.99715107e-05,2.41273225e-05,2.84303674e-05,3.6628115e-05,9.08733401e-05,0.000899643673,-0.000923754394,-0.000672793535,-7.04060666e-05,-6.00081161e-06,-2.10252891e-05,1.25856228e-05
0.636,0.000118250497,0.00030375409,0.00075879264,0.00151848335,-0.000149752896,-0.00126325159,-0.000551043245,-0.000163394464,-5.1197936e-05,2.43855391e-05,2.77878208e-05,3.51780044e-05,0.000104224076,0.000921049485,-0.000770359583,-0.000670614684,-7.10123915e-05,-8.2288467e-06,-2.06713546e-05,1.2489374e-05
0.637,0.000116314719,0.000309205341,0.000771550689,0.001484868,-9.68663068e-05,-0.0012996215,-0.00055338632,-0.000163381527,-5.23193881e-05,2.45181323e-05,2.63695692e-05,3.35792025e-05,0.000118065629,0.000936893267,-0.000625206323,-0.000663431205,-7.19076014e-05,-1.04825071e-05,-1.99766857e-05,1.2324713e-05
0.638,0.000114502895,0.000314858484,0.000783243967,0.00145082532,-4.07834575e-05,-0.0013335975,-0.000556079549,-0.000163741754,-5.33432618e-05,2.45656403e-05,2.43569623e-05,3.20186283e-05,0.000132437559,0.000947635234,-0.000493222334,-0.000651902711,-7.31513377e-05,-1.28974395e-05,-1.9074872e-05,1.20979641e-05
0.639,0.000112818155,0.000320570831,0.000793638842,0.0014170136,1.83862569e-05,-0.00136479748,-0.000559337998,-0.000164569149,-5.43428983e-05,2.44857244e-05,2.19806122e-05,3.07115896e-05,0.000147111127,0.00095393511,-0.00037739451,-0.000636510842,-7.44596353e-05,-1.5492352e-05,-1.81216818e-05,1.19240376e-05
0.64,0.000111354915,0.000326123178,0.00080253547,0.00138343469,7.96156014e-05,-0.00139318905,-0.000563162177,-0.000165954934,-5.5378278e-05,2.43184398e-05,1.94534121e-05,2.98623724e-05,0.000162094962,0.000956382691,-0.000279466701,-0.000618244839,-7.59341387e-05,-1.84465112e-05,-1.73062994e-05,1.17968973e-05
0.641,0.000110140233,0.000331427662,0.000809877964,0.00135070506,0.000142883977,-0.00141856152,-0.000567547827,-0.000167963536,-5.65069806e-05,2.40880264e-05,1.70106271e-05,2.96325056e-05,0.00017712709,0.00095561626,-0.000199225331,-0.000597762336,-7.73503495e-05,-2.1774101e-05,-1.67877741e-05,1.17822019e-05
0.642,0.000109210959,0.000336316259,0.000815596388,0.00131864534,0.000207252512,-0.00144106713,-0.000572408039,-0.000170639066,-5.78345606e-05,2.38200341e-05,1.48123085e-05,3.01838355e-05,0.000192182835,0.000952100443,-0.000135688036,-0.000576049234,-7.8904413e-05,-2.56655366e-05,-1.6763673e-05,1.18397407e-05
0.643,0.000108597887,0.000340759407,0.000819811372,0.00128781064,0.000272829275,-0.00146055836,-0.000577556583,-0.000173988752,-5.94019663e-05,2.35670497e-05,1.30124857e-05,3.15802162e-05,0.000206999925,0.000946265688,-8.65354424e-05,-0.000553650506,-8.04294629e-05,-3.01181287e-05,-1.7339723e-05,1.19673815e-05
0.644,0.000108289586,0.000344659382,0.000822558019,0.00125785924,0.00033869221,-0.00147728737,-0.000582861766,-0.000177997282,-6.13176338e-05,2.33357004e-05,1.16916454e-05,3.39100016e-05,0.000221564395,0.000938379746,-4.95035425e-05,-0.000531335788,-8.21954779e-05,-3.53029179e-05,-1.86655961e-05,1.21094861e-05
