bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,60,4,0.0196026,5.796740652815999,2.03063e-09,1.98431e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,2,60,4,0.0195755,5.794593320844,2.74935e-09,6.13625e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,4,60,4,0.0195512,5.88947780259,3.7502e-09,1.45219e-08,Estable/Ruido,19,0.842,1
0.001,2500,1,0.1,6,60,4,0.0196037,5.789830802448,1.97458e-09,2.99145e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,8,60,4,0.0196035,5.834516900748,8.1535e-10,8.47796e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,10,60,4,0.0196054,5.841528719394,8.33498e-10,1.02626e-08,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,0.5,60,4,0.0195024,5.974735279266,3.80355e-09,4.26407e-09,Estable/Ruido,18,0.816,1
0.001,2500,1,0.2,2,60,4,0.0194567,5.98817709756,3.82386e-09,3.84222e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.2,4,60,4,0.0195832,5.799229878426001,1.21296e-09,5.33691e-09,Estable/Ruido,19,0.844,0
0.001,2500,1,0.2,6,60,4,0.0195369,5.895889807835999,3.17394e-09,9.05351e-09,Estable/Ruido,19,0.842,1
0.001,2500,1,0.2,8,60,4,0.0195771,5.857369791288,3.56422e-09,1.50997e-08,Estable/Ruido,19,0.842,1
0.001,2500,1,0.2,10,60,4,0.0195728,5.89052747604,1.58908e-09,9.06619e-09,Estable/Ruido,19,0.842,1
0.001,2500,1,0.3,0.5,60,4,0.0196047,5.805527919126001,1.46967e-09,2.22983e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,2,60,4,0.0195969,5.8309300166160005,2.46603e-09,5.77562e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,4,60,4,0.0195762,5.862378233178,2.37861e-09,6.83495e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,6,60,4,0.0196006,5.802882742032,1.76158e-09,4.17043e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,8,60,4,0.0196149,5.783208862512,1.43067e-09,1.73168e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,10,60,4,0.0196066,5.789566884551999,2.66072e-09,3.74973e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,0.5,60,4,0.0195956,5.8283928059339996,1.50081e-09,8.66712e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,2,60,4,0.0196054,5.83327528701,1.27106e-09,6.12793e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,4,60,4,0.0196158,5.828704708902,1.52374e-09,5.95232e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,6,60,4,0.019615,5.794959207018,1.25322e-09,1.897e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.4,8,60,4,0.0195184,5.832345576240001,9.01597e-09,1.22871e-08,Estable/Ruido,19,0.844,1
0.001,2500,1,0.4,10,60,4,0.0196276,5.804076370698,2.0628e-09,3.32658e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.6,0.5,60,4,0.0194494,5.925580571136,1.67208e-08,1.09732e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.6,2,60,4,0.0194749,5.97489123075,3.468e-09,6.75887e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.6,4,60,4,0.0196061,5.833839111606,1.41829e-09,6.56192e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.6,6,60,4,0.0195313,5.923013369784,5.67329e-09,9.29045e-09,Estable/Ruido,19,0.842,1
0.001,2500,1,0.6,8,60,4,0.0195175,5.811963916908,5.41822e-09,8.27178e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.6,10,60,4,0.0195929,5.78726959923,2.06687e-09,3.81359e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.7,0.5,60,4,0.019471,5.940635887476001,5.85877e-09,2.95305e-09,Estable/Ruido,18,0.816,1
0.001,2500,1,0.7,2,60,4,0.0195745,5.796002882334,4.36625e-09,5.9513e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.7,4,60,4,0.0195882,5.844503793858,1.13726e-09,1.07442e-08,Estable/Ruido,19,0.842,0
0.001,2500,1,0.7,6,60,4,0.0195794,5.802258936096,1.30303e-09,7.47722e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.7,8,60,4,0.0196154,5.842854307008,2.24978e-09,2.43139e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.7,10,60,4,0.0195954,5.797862303874,2.96819e-09,2.93193e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.8,0.5,60,4,0.0194914,5.973649617012,2.78499e-09,4.35731e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.8,2,60,4,0.0196128,5.817542181528,1.66681e-09,2.4342e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.8,4,60,4,0.019606,5.829124578281999,1.2369e-09,4.9962e-09,Estable/Ruido,19,0.842,0
