bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,2,80,4,0.0196009,5.822184737244,1.40657e-09,4.84316e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,4,100,4,0.019591,5.780473713408001,2.02795e-09,3.24673e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,0.5,100,4,0.0195557,5.83540462458,4.85354e-09,5.57865e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,0.5,80,4,0.0194846,5.963848666056,3.06651e-09,3.64341e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.1,8,100,4,0.0196161,5.8092467622060004,7.44449e-10,2.87166e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,6,80,4,0.0196105,5.8457094187920005,1.08645e-09,9.69852e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,6,100,4,0.019618,5.791570261308,1.36548e-09,1.88576e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,2,100,4,0.0195931,5.792661921696,2.79634e-09,3.20519e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,10,80,4,0.0196264,5.80358452371,1.0927e-09,1.95772e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,0.5,100,4,0.0194631,5.908749807132001,1.20452e-08,1.13289e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.1,10,100,4,0.0196108,5.787923395836,2.25652e-09,3.01284e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,0.5,80,4,0.0195421,5.897497307747999,4.30261e-09,5.85e-09,Estable/Ruido,19,0.843,1
0.001,2500,1,0.2,2,100,4,0.0194117,5.935525477308,2.45696e-08,1.14651e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.2,2,80,4,0.019601,5.800717415658,1.82707e-09,2.87289e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.2,4,80,4,0.019613,5.793909533568,1.54694e-09,2.24264e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,4,100,4,0.0194685,5.950322873886,4.91078e-09,6.57744e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.2,6,80,4,0.0196031,5.78651983248,2.14366e-09,2.56868e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.2,6,100,4,0.0196179,5.799181893354,1.27055e-09,2.69921e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,8,80,4,0.0194874,5.992063888392,1.07755e-09,1.6612e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.2,8,100,4,0.0196331,5.851497618102,3.87105e-09,6.12433e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,10,100,4,0.0196217,5.803452564762,1.35146e-09,4.5814e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,10,80,4,0.01961,5.885824938984,4.05199e-09,1.0162e-08,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,0.5,80,4,0.0196243,5.81141208858,1.06697e-09,2.5664e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,0.5,100,4,0.0196146,5.798324160191999,1.44427e-09,1.75582e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,2,80,4,0.0195993,5.826263468364,1.32058e-09,5.19924e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,4,80,4,0.0194809,5.927829871386001,7.30265e-09,8.27712e-09,Estable/Ruido,18,0.816,1
0.001,2500,1,0.3,2,100,4,0.0194852,5.99780410263,1.85845e-09,6.44471e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.3,4,100,4,0.0196101,5.798780018376,1.72546e-09,1.99035e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,6,80,4,0.0194917,5.882058110831999,6.47498e-09,1.55699e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.3,6,100,4,0.0196017,5.781763312218,1.29731e-09,1.62324e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,8,80,4,0.0195928,5.852643261696,1.63418e-09,8.67575e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,8,100,4,0.0196118,5.82904660254,1.45184e-09,9.18464e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.3,10,80,4,0.0196156,5.813967293664001,1.03066e-09,4.13416e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.3,10,100,4,0.0195216,5.846867058654,8.99118e-09,1.11125e-08,Estable/Ruido,19,0.843,0
0.001,2500,1,0.4,0.5,80,4,0.0196086,5.797676361720001,1.84748e-09,2.02288e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.4,0.5,100,4,0.0195046,5.963812677252,2.45235e-09,8.6974e-09,Estable/Ruido,18,0.816,1
0.001,2500,1,0.4,2,80,4,0.0196077,5.824356061752,1.12245e-09,4.15047e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,2,100,4,0.0195815,5.850291993168,1.36146e-09,9.33624e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,4,80,4,0.0195735,5.803422574092001,1.71275e-09,9.94964e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,4,100,4,0.0195359,5.90411324955,4.64306e-09,9.77671e-09,Estable/Ruido,19,0.842,1
0.001,2500,1,0.4,6,80,4,0.019616,5.787983377175999,2.00742e-09,2.06072e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.4,6,100,4,0.0195517,5.892062998344,3.67371e-09,1.20768e-08,Estable/Ruido,19,0.843,1
0.001,2500,1,0.4,8,100,4,0.019593,5.78753951526,2.40938e-09,4.04674e-09,Estable/Ruido,19,0.843,0
