r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.425,2.84728578e-05,-1.45845059e-05,0.000204484737,0.000165612054,1.74629347e-05,8.70575389e-06,-6.63113999e-05,2.80798629e-05
0.426,2.82512654e-05,-1.45410711e-05,0.000202917692,0.000164196357,1.73434055e-05,8.7489316e-06,-6.54850727e-05,2.7716439e-05
0.427,2.80294715e-05,-1.44920964e-05,0.00020137025,0.000162797154,1.72240087e-05,8.78892242e-06,-6.4666914e-05,2.73600866e-05
0.428,2.78075053e-05,-1.44377346e-05,0.000199842089,0.000161414221,1.71047373e-05,8.82575324e-06,-6.38567927e-05,2.70106818e-05
0.429,2.75853902e-05,-1.43781359e-05,0.000198332902,0.000160047338,1.69855852e-05,8.85944857e-06,-6.30545793e-05,2.66681049e-05
0.43,2.73631441e-05,-1.43134472e-05,0.000196842386,0.000158696283,1.6866547e-05,8.89003078e-06,-6.22601454e-05,2.63322399e-05
0.431,2.71407794e-05,-1.42438125e-05,0.000195370252,0.000157360836,1.67476171e-05,8.91752012e-06,-6.14733633e-05,2.60029749e-05
0.432,2.69183068e-05,-1.41693728e-05,0.000193916216,0.000156040783,1.66287893e-05,8.94193558e-06,-6.06941063e-05,2.56802004e-05
0.433,2.66957393e-05,-1.40902665e-05,0.000192479996,0.000154735916,1.65100564e-05,8.96329684e-06,-5.99222499e-05,2.53638082e-05
0.434,2.64730944e-05,-1.40066293e-05,0.000191061312,0.000153446033,1.63914102e-05,8.98162504e-06,-5.91576728e-05,2.50536902e-05
0.435,2.62503943e-05,-1.39185938e-05,0.000189659886,0.000152170937,1.62728418e-05,8.99694303e-06,-5.84002565e-05,2.4749739e-05
0.436,2.60276655e-05,-1.38262885e-05,0.000188275436,0.000150910436,1.61543417e-05,9.00927551e-06,-5.76498851e-05,2.44518474e-05
0.437,2.58049379e-05,-1.37298367e-05,0.000186907683,0.000149664343,1.60359008e-05,9.01864863e-06,-5.6906445e-05,2.4159909e-05
0.438,2.55822406e-05,-1.36293548e-05,0.000185556345,0.000148432468,1.59175112e-05,9.02508821e-06,-5.6169825e-05,2.38738182e-05
0.439,2.53595979e-05,-1.35249507e-05,0.000184221149,0.000147214622,1.57991664e-05,9.02861647e-06,-5.54399142e-05,2.35934727e-05
0.44,2.51370279e-05,-1.34167233e-05,0.000182901826,0.000146010616,1.56808613e-05,9.02924833e-06,-5.47166021e-05,2.33187746e-05
0.441,2.49145427e-05,-1.33047621e-05,0.00018159812,0.000144820258,1.55625918e-05,9.02698553e-06,-5.39997774e-05,2.30496311e-05
0.442,2.46921477e-05,-1.31891489e-05,0.000180309783,0.00014364336,1.54443548e-05,9.02181117e-06,-5.32893252e-05,2.27859563e-05
0.443,2.44698444e-05,-1.30699576e-05,0.000179036577,0.000142479734,1.53261478e-05,9.01369585e-06,-5.25851304e-05,2.25276686e-05
0.444,2.42476345e-05,-1.29472561e-05,0.000177778263,0.000141329194,1.52079684e-05,9.00260455e-06,-5.18870794e-05,2.22746883e-05
0.445,2.40255233e-05,-1.28211082e-05,0.000176534607,0.000140191561,1.50898139e-05,8.9885005e-06,-5.11950616e-05,2.20269364e-05
0.446,2.38035202e-05,-1.26915766e-05,0.000175305371,0.00013906666,1.49716815e-05,8.97134702e-06,-5.05089689e-05,2.17843345e-05
0.447,2.35816387e-05,-1.25587259e-05,0.00017409032,0.000137954319,1.48535682e-05,8.95110894e-06,-4.98286969e-05,2.1546804e-05
0.448,2.33598964e-05,-1.24226259e-05,0.000172889224,0.000136854373,1.47354702e-05,8.92775419e-06,-4.91541443e-05,2.13142667e-05
0.449,2.31383116e-05,-1.22833544e-05,0.000171701857,0.000135766663,1.46173834e-05,8.90125555e-06,-4.84852117e-05,2.1086646e-05
0.45,2.29169013e-05,-1.21409994e-05,0.000170528003,0.000134691032,1.44993028e-05,8.87159485e-06,-4.78218014e-05,2.08638662e-05
0.451,2.26956805e-05,-1.19956588e-05,0.00016936745,0.000133627325,1.43812231e-05,8.83877075e-06,-4.71638197e-05,2.06458509e-05
0.452,2.24746628e-05,-1.18474383e-05,0.00016821999,0.00013257539,1.42631386e-05,8.80280577e-06,-4.65111791e-05,2.04325208e-05
0.453,2.22538607e-05,-1.16964522e-05,0.000167085415,0.000131535076,1.41450424e-05,8.7637384e-06,-4.58637952e-05,2.02237958e-05
0.454,2.20332869e-05,-1.1542822e-05,0.000165963526,0.000130506232,1.40269263e-05,8.72161523e-06,-4.52215854e-05,2.00195969e-05
0.455,2.18129567e-05,-1.13866734e-05,0.000164854125,0.000129488711,1.39087803e-05,8.67648698e-06,-4.4584469e-05,1.98198459e-05
0.456,2.15928895e-05,-1.12281329e-05,0.000163757016,0.000128482368,1.3790593e-05,8.62840617e-06,-4.39523677e-05,1.96244651e-05
0.457,2.13731082e-05,-1.10673245e-05,0.000162672003,0.000127487063,1.36723523e-05,8.57742516e-06,-4.33252049e-05,1.94333779e-05
0.458,2.11536384e-05,-1.0904367e-05,0.000161598891,0.000126502655,1.35540457e-05,8.52359431e-06,-4.27029058e-05,1.92465082e-05
0.459,2.09345077e-05,-1.07393711e-05,0.000160537483,0.000125529009,1.34356612e-05,8.4669594e-06,-4.20853967e-05,1.90637818e-05
0.46,2.07157427e-05,-1.05724376e-05,0.000159487582,0.000124565986,1.3317189e-05,8.40755742e-06,-4.14726048e-05,1.88851254e-05
0.461,2.04973659e-05,-1.04036585e-05,0.000158448994,0.000123613451,1.31986212e-05,8.34540947e-06,-4.0864456e-05,1.87104702e-05
0.462,2.0279395e-05,-1.02331184e-05,0.000157421529,0.000122671266,1.30799518e-05,8.2805151e-06,-4.02608713e-05,1.85397535e-05
0.463,2.00618424e-05,-1.00608945e-05,0.000156405008,0.000121739296,1.29611762e-05,8.21285888e-06,-3.96617705e-05,1.8372917e-05
0.464,1.98447158e-05,-9.88705677e-06,0.000155399256,0.000120817404,1.28422916e-05,8.14241713e-06,-3.90670733e-05,1.82099052e-05
0.465,1.96280185e-05,-9.71166989e-06,0.000154404101,0.00011990546,1.27232962e-05,8.06916227e-06,-3.8476699e-05,1.80506643e-05
0.466,1.94117519e-05,-9.53479493e-06,0.000153419374,0.000119003335,1.26041883e-05,7.99306586e-06,-3.78905666e-05,1.7895142e-05
0.467,1.91959188e-05,-9.35649065e-06,0.00015244491,0.000118110905,1.24849666e-05,7.91410074e-06,-3.73085965e-05,1.77432858e-05
0.468,1.89805245e-05,-9.17681526e-06,0.00015148054,0.000117228049,1.23656294e-05,7.83224206e-06,-3.67307114e-05,1.75950431e-05
