r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.694,-4.55690632e-05,-0.000531629705,-0.00119471078,-0.000406527055,1.31951407e-05,-0.000479042382,-0.000983098284,2.8523462e-05
0.695,-4.54785797e-05,-0.000527639449,-0.00117817755,-0.000404845491,1.36431565e-05,-0.000466480253,-0.000979803211,2.85099496e-05
0.696,-4.53767066e-05,-0.000523559639,-0.00116183491,-0.000403192419,1.4037642e-05,-0.000454188283,-0.000976145863,2.86032565e-05
0.697,-4.52603872e-05,-0.000519398694,-0.00114569215,-0.000401579418,1.43663104e-05,-0.000442153947,-0.000972152191,2.88175904e-05
0.698,-4.51323073e-05,-0.000515164082,-0.00112975984,-0.000400017476,1.46370909e-05,-0.000430372249,-0.00096783659,2.91551001e-05
0.699,-4.49947921e-05,-0.000510858572,-0.00111404851,-0.000398510781,1.4868556e-05,-0.000418847094,-0.000963205865,2.9602078e-05
0.7,-4.48491193e-05,-0.000506484049,-0.00109856765,-0.00039706251,1.50779024e-05,-0.000407583199,-0.000958266786,3.01420447e-05
0.701,-4.46938351e-05,-0.00050204006,-0.00108332517,-0.000395672237,1.52748682e-05,-0.000396584669,-0.000953029754,3.07583501e-05
0.702,-4.45243801e-05,-0.000497528558,-0.0010683268,-0.000394342856,1.54521351e-05,-0.00038584725,-0.000947514967,3.14484957e-05
0.703,-4.43376004e-05,-0.000492952759,-0.00105357735,-0.000393079383,1.56004785e-05,-0.000375363561,-0.000941744508,3.22157671e-05
0.704,-4.41299553e-05,-0.000488316505,-0.00103908078,-0.000391888356,1.57120278e-05,-0.000365125348,-0.000935739368,3.30642625e-05
0.705,-4.39005736e-05,-0.00048362431,-0.00102484038,-0.000390777316,1.57867661e-05,-0.000355125897,-0.000929516419,3.39943648e-05
0.706,-4.36485042e-05,-0.000478879509,-0.00101085842,-0.000389751428,1.58309216e-05,-0.000345361296,-0.000923087841,3.49995811e-05
0.707,-4.33739815e-05,-0.000474086595,-0.000997135954,-0.000388815099,1.58507881e-05,-0.000335828929,-0.000916465165,3.60720804e-05
0.708,-4.30772383e-05,-0.000469249569,-0.000983673304,-0.000387970786,1.58512455e-05,-0.000326526315,-0.000909659325,3.7203762e-05
0.709,-4.27585536e-05,-0.000464373176,-0.000970469831,-0.000387220954,1.5834058e-05,-0.00031745041,-0.000902682596,3.8388134e-05
0.71,-4.24178221e-05,-0.00045946065,-0.000957524649,-0.00038656802,1.57999923e-05,-0.000308596803,-0.00089554693,3.96197579e-05
0.711,-4.2054344e-05,-0.00045451506,-0.00094483616,-0.000386015051,1.57497938e-05,-0.00029996109,-0.000888264281,4.08929792e-05
0.712,-4.1667722e-05,-0.000449538311,-0.000932402793,-0.00038556581,1.56823303e-05,-0.000291538042,-0.000880846613,4.22041074e-05
0.713,-4.12581434e-05,-0.000444533585,-0.00092022281,-0.00038522503,1.55945512e-05,-0.000283321989,-0.000873307209,4.3552348e-05
0.714,-4.08279554e-05,-0.000439504031,-0.000908294705,-0.00038499791,1.5483808e-05,-0.000275307346,-0.00086565789,4.4938065e-05
0.715,-4.03799444e-05,-0.000434453265,-0.000896617032,-0.000384888436,1.53497636e-05,-0.000267488962,-0.000857909536,4.63609616e-05
0.716,-3.99181049e-05,-0.000429383876,-0.000885188409,-0.000384899905,1.52025279e-05,-0.000259867191,-0.000850065291,4.78121278e-05
0.717,-3.94439652e-05,-0.000424296525,-0.000874007386,-0.000385031062,1.50528256e-05,-0.000252444899,-0.000842127335,4.92761152e-05
0.718,-3.89582541e-05,-0.000419192503,-0.000863071226,-0.000385281422,1.49101861e-05,-0.000245225796,-0.000834096691,5.0736839e-05
0.719,-3.84601622e-05,-0.000414071906,-0.000852377256,-0.000385646998,1.47715062e-05,-0.000238208842,-0.000825981563,5.21825966e-05
0.72,-3.79492999e-05,-0.000408938192,-0.000841920742,-0.000386128167,1.46236065e-05,-0.000231384834,-0.000817795916,5.36165412e-05
0.721,-3.74277933e-05,-0.000403793771,-0.000831698624,-0.000386724633,1.44536247e-05,-0.000224742277,-0.000809554744,5.5043845e-05
0.722,-3.68971846e-05,-0.000398643073,-0.00082170601,-0.000387439347,1.42555306e-05,-0.000218269988,-0.000801269015,5.64723721e-05
0.723,-3.63614372e-05,-0.000393488129,-0.000811940554,-0.000388273812,1.40401071e-05,-0.000211966183,-0.000792939688,5.78944113e-05
0.724,-3.58198831e-05,-0.000388331015,-0.000802397363,-0.000389227559,1.38215068e-05,-0.000205833836,-0.000784563815,5.92965266e-05
0.725,-3.52740247e-05,-0.000383172641,-0.000793073678,-0.000390298996,1.36109076e-05,-0.000199877823,-0.000776138878,6.0660541e-05
0.726,-3.47213015e-05,-0.000378014384,-0.000783963947,-0.000391484371,1.34053851e-05,-0.000194096617,-0.000767669957,6.19786979e-05
0.727,-3.41638877e-05,-0.000372858026,-0.000775065175,-0.000392783036,1.31901638e-05,-0.000188481398,-0.000759169142,6.32539399e-05
0.728,-3.36022503e-05,-0.000367706452,-0.000766372098,-0.000394194286,1.29523243e-05,-0.000183018862,-0.000750649295,6.44976385e-05
0.729,-3.30407613e-05,-0.000362562362,-0.000757882124,-0.000395720533,1.26868031e-05,-0.000177699936,-0.000742117847,6.57156844e-05
0.73,-3.24803829e-05,-0.000357429265,-0.000749589907,-0.000397362364,1.24068419e-05,-0.000172521608,-0.000733572681,6.6905021e-05
0.731,-3.19229376e-05,-0.000352308637,-0.000741492253,-0.000399120185,1.21281158e-05,-0.000167490567,-0.000725006466,6.8047752e-05
0.732,-3.13667832e-05,-0.000347202961,-0.000733583285,-0.000400991149,1.1861647e-05,-0.000162608438,-0.000716415552,6.91314095e-05
