r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.403,-1.14785315e-05,-0.000159819423,0.00010374445,3.7412116e-05,-1.23481364e-05,2.97906861e-05,-6.62662893e-06,1.87504168e-05
0.404,-1.14099744e-05,-0.000158466353,0.000102732848,3.70600792e-05,-1.22772522e-05,3.00770735e-05,-6.4470744e-06,1.85280794e-05
0.405,-1.13409449e-05,-0.000157126086,0.000101737199,3.67127506e-05,-1.22061942e-05,3.03586755e-05,-6.26944857e-06,1.83095114e-05
0.406,-1.12714625e-05,-0.000155798419,0.00010075717,3.6370049e-05,-1.21349691e-05,3.06356135e-05,-6.09371421e-06,1.80946384e-05
0.407,-1.12015442e-05,-0.000154483154,9.97924352e-05,3.6031894e-05,-1.20635812e-05,3.09080057e-05,-5.91983561e-06,1.78833868e-05
0.408,-1.11312069e-05,-0.000153180095,9.88426787e-05,3.56982059e-05,-1.19920331e-05,3.11759633e-05,-5.74777274e-06,1.76756875e-05
0.409,-1.10604672e-05,-0.00015188905,9.79075902e-05,3.53689069e-05,-1.19203274e-05,3.1439596e-05,-5.57748837e-06,1.7471473e-05
0.41,-1.09893409e-05,-0.000150609831,9.69868709e-05,3.50439229e-05,-1.18484678e-05,3.1699014e-05,-5.40895233e-06,1.72706756e-05
0.411,-1.09178431e-05,-0.000149342263,9.60802473e-05,3.47231848e-05,-1.17764577e-05,3.19543216e-05,-5.24213485e-06,1.70732311e-05
0.412,-1.08459881e-05,-0.000148086191,9.51874873e-05,3.44066331e-05,-1.17042994e-05,3.22056064e-05,-5.07699058e-06,1.68790855e-05
0.413,-1.07737874e-05,-0.000146841471,9.43083791e-05,3.40942131e-05,-1.16319951e-05,3.24529499e-05,-4.91347255e-06,1.66881875e-05
0.414,-1.07012476e-05,-0.000145607964,9.34427166e-05,3.37858733e-05,-1.15595441e-05,3.26964334e-05,-4.75154456e-06,1.65004872e-05
0.415,-1.06283706e-05,-0.00014438553,9.2590295e-05,3.34815621e-05,-1.14869437e-05,3.29361361e-05,-4.591175e-06,1.63159359e-05
0.416,-1.05551549e-05,-0.000143174035,9.17509134e-05,3.31812273e-05,-1.14141921e-05,3.31721333e-05,-4.43232894e-06,1.61344855e-05
0.417,-1.04815964e-05,-0.000141973344,9.09243766e-05,3.28848165e-05,-1.13412883e-05,3.34044973e-05,-4.27496878e-06,1.59560884e-05
0.418,-1.04076896e-05,-0.000140783331,9.01104944e-05,3.25922773e-05,-1.12682296e-05,3.36332962e-05,-4.1190557e-06,1.57806989e-05
0.419,-1.03334297e-05,-0.000139603868,8.93090801e-05,3.23035567e-05,-1.11950116e-05,3.38585945e-05,-3.96454848e-06,1.5608273e-05
0.42,-1.02588146e-05,-0.000138434832,8.85199488e-05,3.20186025e-05,-1.11216318e-05,3.40804576e-05,-3.81140595e-06,1.54387659e-05
0.421,-1.01838473e-05,-0.000137276096,8.77429078e-05,3.17373613e-05,-1.10480909e-05,3.4298956e-05,-3.65958953e-06,1.5272131e-05
0.422,-1.01085355e-05,-0.000136127525,8.69777437e-05,3.1459777e-05,-1.09743922e-05,3.45141705e-05,-3.50907077e-06,1.51083174e-05
0.423,-1.00328922e-05,-0.000134988976,8.62242342e-05,3.11857935e-05,-1.09005396e-05,3.47261862e-05,-3.35982448e-06,1.49472742e-05
0.424,-9.95693371e-06,-0.00013386031,8.5482157e-05,3.09153564e-05,-1.08265371e-05,3.493509e-05,-3.21182717e-06,1.47889513e-05
0.425,-9.88067866e-06,-0.000132741391,8.47512959e-05,3.06484144e-05,-1.07523891e-05,3.51409704e-05,-3.06505781e-06,1.46332988e-05
0.426,-9.80414658e-06,-0.000131632085,8.40314399e-05,3.03849161e-05,-1.0678101e-05,3.53439119e-05,-2.91948861e-06,1.44802693e-05
