        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.7880000E+00	  0.2127932E+00	  0.7496610E+00	  0.7816538E+00	  0.8397174E+00	  0.2215954E+00	  0.1946198E+00	  0.4071142E+00	 -0.3881920E-01	  0.9939826E+00	  0.1650956E+00	  0.2332827E+00	  0.4286645E+01	  0.8326442E+00	 -0.4304527E+00	 -0.1457569E+01	  0.1284102E+02
  0.7890000E+00	  0.2104572E+00	  0.7489526E+00	  0.7812372E+00	  0.8397704E+00	  0.2206657E+00	  0.1937465E+00	  0.4071270E+00	 -0.3886705E-01	  0.9939781E+00	  0.1640249E+00	  0.2328513E+00	  0.4294585E+01	  0.8322135E+00	 -0.4310039E+00	 -0.1461061E+01	  0.1293327E+02
  0.7900000E+00	  0.2081117E+00	  0.7482431E+00	  0.7808217E+00	  0.8398379E+00	  0.2197360E+00	  0.1928741E+00	  0.4071434E+00	 -0.3891478E-01	  0.9939736E+00	  0.1629563E+00	  0.2324203E+00	  0.4302550E+01	  0.8317822E+00	 -0.4315485E+00	 -0.1464556E+01	  0.1302654E+02
  0.7910000E+00	  0.2057553E+00	  0.7475324E+00	  0.7804074E+00	  0.8399216E+00	  0.2188063E+00	  0.1920026E+00	  0.4071637E+00	 -0.3896242E-01	  0.9939692E+00	  0.1618898E+00	  0.2319896E+00	  0.4310538E+01	  0.8313504E+00	 -0.4320863E+00	 -0.1468036E+01	  0.1312083E+02
  0.7920000E+00	  0.2033905E+00	  0.7468206E+00	  0.7799942E+00	  0.8400195E+00	  0.2178766E+00	  0.1911320E+00	  0.4071874E+00	 -0.3900995E-01	  0.9939649E+00	  0.1608254E+00	  0.2315592E+00	  0.4318550E+01	  0.8309181E+00	 -0.4326173E+00	 -0.1471486E+01	  0.1321617E+02
  0.7930000E+00	  0.2010203E+00	  0.7461077E+00	  0.7795817E+00	  0.8401291E+00	  0.2169469E+00	  0.1902623E+00	  0.4072139E+00	 -0.3905737E-01	  0.9939606E+00	  0.1597629E+00	  0.2311291E+00	  0.4326585E+01	  0.8304852E+00	 -0.4331415E+00	 -0.1474903E+01	  0.1331256E+02
  0.7940000E+00	  0.1986481E+00	  0.7453936E+00	  0.7791697E+00	  0.8402476E+00	  0.2160173E+00	  0.1893935E+00	  0.4072427E+00	 -0.3910470E-01	  0.9939562E+00	  0.1587020E+00	  0.2306994E+00	  0.4334644E+01	  0.8300518E+00	 -0.4336588E+00	 -0.1478285E+01	  0.1341002E+02
  0.7950000E+00	  0.1962771E+00	  0.7446783E+00	  0.7787580E+00	  0.8403725E+00	  0.2150879E+00	  0.1885256E+00	  0.4072729E+00	 -0.3915192E-01	  0.9939518E+00	  0.1576427E+00	  0.2302701E+00	  0.4342726E+01	  0.8296179E+00	 -0.4341692E+00	 -0.1481635E+01	  0.1350855E+02
  0.7960000E+00	  0.1939106E+00	  0.7439619E+00	  0.7783463E+00	  0.8405010E+00	  0.2141585E+00	  0.1876586E+00	  0.4073041E+00	 -0.3919903E-01	  0.9939475E+00	  0.1565850E+00	  0.2298411E+00	  0.4350831E+01	  0.8291834E+00	 -0.4346726E+00	 -0.1484951E+01	  0.1360817E+02
  0.7970000E+00	  0.1915519E+00	  0.7432443E+00	  0.7779343E+00	  0.8406305E+00	  0.2132294E+00	  0.1867926E+00	  0.4073355E+00	 -0.3924604E-01	  0.9939435E+00	  0.1555291E+00	  0.2294126E+00	  0.4358959E+01	  0.8287485E+00	 -0.4351691E+00	 -0.1488234E+01	  0.1370890E+02
