bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,60,2,0.0119691,3.00941378115,4.72006e-09,1.34376e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,2,60,2,0.0119543,2.979501086892,4.78987e-09,1.06669e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,4,60,2,0.0119722,3.005479005246,4.99697e-09,1.44868e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,6,60,2,0.0119899,3.003373660212,4.3014e-09,1.04063e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,8,60,2,0.0119908,2.999618828328,4.42688e-09,9.75976e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,10,60,2,0.0119883,3.005640954864,3.92369e-09,1.02287e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,0.5,60,2,0.0119694,3.009305814738,4.67743e-09,1.35208e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,2,60,2,0.0119629,3.002521925184,5.25946e-09,1.45306e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,4,60,2,0.0119711,3.0065706656340003,5.17644e-09,1.53259e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,6,60,2,0.0119835,2.9992169533500004,4.4979e-09,1.29776e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,8,60,2,0.011988,2.995102233426,4.20247e-09,1.14181e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,10,60,2,0.0119927,2.999504863782,4.28736e-09,1.14485e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,0.5,60,2,0.01197,3.0092578296659998,4.72072e-09,1.34051e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,2,60,2,0.0119636,3.007170479034,5.30228e-09,1.52406e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,4,60,2,0.0119677,3.00074647752,5.32984e-09,1.42898e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,6,60,2,0.0119786,2.9991209832059997,5.3287e-09,1.37023e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,8,60,2,0.0119946,2.994676365912,5.16575e-09,1.42092e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,10,60,2,0.011999,2.999840759286,4.76406e-09,1.35838e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,0.5,60,2,0.0119657,3.00449531127,4.50596e-09,1.23009e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,2,60,2,0.0119581,2.99390860476,4.72415e-09,1.36411e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,4,60,2,0.0119638,3.0015682218779998,5.38254e-09,1.42258e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,6,60,2,0.0119753,3.0203483794320003,5.37197e-09,1.63934e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,8,60,2,0.0119827,2.983459855332,6.08533e-09,1.19171e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,10,60,2,0.0119881,3.011081262402,4.12742e-09,1.04566e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,0.5,60,2,0.0119728,3.03589554276,4.37585e-09,1.52793e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,2,60,2,0.0119625,3.005407027638,5.23767e-09,1.43642e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,4,60,2,0.0119692,3.00650468616,8.18125e-09,1.72324e-09,Estable/Ruido,9,0.815,0
0.001,2500,1,0.6,6,60,2,0.0119487,2.96409787878,4.67723e-09,8.55151e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,8,60,2,0.0119647,3.00362558184,5.90537e-09,1.81583e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,10,60,2,0.0119652,2.971589548146,4.28358e-09,1.44222e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,0.5,60,2,0.0119716,3.009857643066,4.4433e-09,1.25408e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,2,60,2,0.0119704,3.0245350769640003,5.13017e-09,1.85874e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,4,60,2,0.0119582,3.001622205084,5.54258e-09,1.31576e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,6,60,2,0.0119584,3.005281066824,5.74736e-09,1.55819e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,8,60,2,0.0119556,3.0041714120339997,5.84899e-09,1.78345e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,10,60,2,0.0119543,2.98584111453,5.24106e-09,1.84747e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.8,0.5,60,2,0.0119706,3.010097568426,4.28754e-09,1.25171e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.8,2,60,2,0.0119632,3.0077642943,5.18706e-09,1.42625e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.8,4,60,2,0.0119614,3.0100735758900004,5.31973e-09,1.32358e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.8,6,60,2,0.0119607,3.011986980636,5.47722e-09,1.38302e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.8,8,60,2,0.0119577,3.01037348259,5.5716e-09,1.30801e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.8,10,60,2,0.0119578,3.012040963842,5.77794e-09,1.34555e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.1,0.5,60,2,0.011963,3.026820366018,4.36921e-09,1.09248e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.1,2,60,2,0.0119649,3.014188295814,5.41897e-09,1.50556e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.1,4,60,2,0.0165083,134.1566642976,2.71095e-20,7.14363e-19,TAE,7,0.235,1
0.0049,2500,1,0.1,6,60,2,0.0205848,135.2843134896,1.05779e-25,3.10534e-25,TAE,6,0.169,1
0.0049,2500,1,0.1,8,60,2,0.02015,135.8805280092,5.07365e-25,1.22008e-25,TAE,6,0.16,1
0.0049,2500,1,0.1,10,60,2,0.0172702,136.7298637836,3.03199e-22,2.48038e-22,EAE,6,0.15,0
0.0049,2500,1,0.2,0.5,60,2,0.0119677,3.044916736296,4.59748e-09,1.3659e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.2,2,60,2,0.0119628,3.01232287614,5.19677e-09,1.46574e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.2,4,60,2,0.0148874,133.8159702864,4.64149e-10,2.70746e-06,BAE,6,0.179,0
0.0049,2500,1,0.2,6,60,2,0.0254685,136.6386921468,3.41404e-26,9.14198e-26,TAE,7,0.237,1
0.0049,2500,1,0.2,8,60,2,0.0345812,138.3121715328,4.97606e-26,5.96719e-26,TAE,7,0.233,1
0.0049,2500,1,0.2,10,60,2,0.0425414,139.5609830316,3.10125e-26,6.32872e-26,TAE,7,0.229,1
0.0049,2500,1,0.3,0.5,60,2,0.0119694,3.045678499314,4.64461e-09,1.33133e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.3,2,60,2,0.0119632,3.0161256930960003,5.24435e-09,1.47345e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.3,4,60,2,0.0114857,17.957693419920002,1.96122e-06,0.00131646,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.3,6,60,2,0.0132416,60.6063455628,1.35806e-09,2.81948e-06,BAE,6,0.361,0
0.0049,2500,1,0.3,8,60,2,0.0134636,61.5804425244,2.36503e-08,3.76517e-08,BAE,6,0.345,0
0.0049,2500,1,0.3,10,60,2,0.0187188,144.60421409879999,2.79959e-25,1.7357e-25,BAE,7,0.263,0
0.0049,2500,1,0.4,0.5,60,2,0.0119689,3.0447008034720002,4.49461e-09,1.29016e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.4,2,60,2,0.0119624,3.018602922438,5.23983e-09,1.46147e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.4,4,60,2,0.0129935,59.3044505781,1.85408e-09,1.3654e-05,BAE,6,0.397,0
0.0049,2500,1,0.4,6,60,2,0.0208465,61.414894026,1.56716e-26,2.48723e-26,BAE,6,0.398,0
0.0049,2500,1,0.4,8,60,2,0.0273461,62.8478482386,3.44397e-26,3.4275e-26,BAE,6,0.397,0
0.0049,2500,1,0.4,10,60,2,0.0327098,64.0798649622,1.09703e-25,4.5453e-26,BAE,6,0.397,0
0.0049,2500,1,0.6,0.5,60,2,0.0119705,3.048017771574,4.41596e-09,1.2926e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.6,2,60,2,0.0119624,3.0231615042780002,5.22015e-09,1.32971e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.6,4,60,2,0.0119603,3.018878836602,5.40846e-09,1.49863e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.6,6,60,2,0.0119713,3.052078508292,4.23384e-09,3.83257e-09,Estable/Ruido,9,0.815,0
0.0049,2500,1,0.6,8,60,2,0.0119627,3.005101122804,5.53207e-09,1.73563e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.6,10,60,2,0.0120193,101.76494125740001,1.23038e-05,0.0152712,Estable/Ruido,6,0.606,1
0.0049,2500,1,0.7,0.5,60,2,0.0119727,3.05020109235,4.51639e-09,1.27087e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.7,2,60,2,0.0119606,3.0326145634620003,4.99676e-09,1.41377e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.7,4,60,2,0.0119634,3.03814484301,5.54471e-09,1.52187e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.7,6,60,2,0.0119593,3.0323986306379997,5.57824e-09,1.61616e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.7,8,60,2,0.0163696,233.51515419420002,7.58829e-10,1.00761e-08,EAE,7,0.671,3
0.0049,2500,1,0.7,10,60,2,0.023212,229.089730929,1.48336e-22,1.29651e-22,EAE,7,0.67,2
0.0049,2500,1,0.8,0.5,60,2,0.0119705,3.0484676316240003,4.26062e-09,1.24041e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.8,2,60,2,0.0119587,3.0428353837980002,5.02368e-09,1.48033e-09,Estable/Ruido,9,0.816,0
0.0049,2500,1,0.8,4,60,2,0.0119593,3.0442209527519997,5.28762e-09,1.32396e-09,Estable/Ruido,9,0.816,0
