,0,1,2,3,4,5,6
82,0.1,371.9049,0.0,0.0,0.0,0.0,0.0
83,0.1,0.0,0.0,468.9846,0.0,0.0,0.0
84,0.1,0.0,0.0,0.0,439.2669,439.2669,0.0
85,0.1,282.733,0.0,0.0,0.0,0.0,0.0
86,0.1,0.0,0.0,0.0,412.0658,412.0658,0.0
87,0.1,0.0,0.0,382.6893,0.0,0.0,0.0
88,0.1,0.0,330.6652,0.0,0.0,0.0,0.0
89,0.1,0.0,319.3136,0.0,0.0,0.0,0.0
90,0.1,150.6631,0.0,0.0,0.0,0.0,0.0
91,0.1,0.0,0.0,272.4356,0.0,0.0,0.0
92,0.1,0.0,0.0,0.0,254.9205,254.9205,0.0
93,0.1,67.59408,0.0,0.0,0.0,0.0,0.0
94,0.1,0.0,0.0,0.0,176.1711,176.1711,0.0
95,0.1,0.0,0.0,159.0994,0.0,0.0,0.0
96,0.1,0.0,100.7738,0.0,0.0,0.0,0.0
97,0.1,0.0,116.475,0.0,0.0,0.0,0.0
98,0.1,0.0,0.0,59.44643,0.0,0.0,0.0
99,0.1,0.0,0.0,0.0,45.71127,45.71127,0.0
100,0.1,0.09893315,0.0,0.0,0.0,0.0,0.0
101,0.1,0.0,0.0,0.06144697,0.0,0.0,0.0
102,0.1,0.0,0.0,0.0,0.008744545,0.008744545,0.0
185,0.11171929108260578,0.0,0.0,477.1401,0.0,0.0,0.0
186,0.11171929108260578,375.2163,0.0,0.0,0.0,0.0,0.0
187,0.11171929108260578,281.6097,0.0,0.0,0.0,0.0,0.0
188,0.11171929108260578,0.0,0.0,0.0,434.693,434.693,0.0
189,0.11171929108260578,0.0,0.0,0.0,419.1547,419.1547,0.0
190,0.11171929108260578,0.0,0.0,377.2046,0.0,0.0,0.0
191,0.11171929108260578,0.0,328.1686,0.0,0.0,0.0,0.0
192,0.11171929108260578,0.0,323.5742,0.0,0.0,0.0,0.0
193,0.11171929108260578,0.0,0.0,278.3562,0.0,0.0,0.0
194,0.11171929108260578,0.0,0.0,0.0,253.8016,253.8016,0.0
195,0.11171929108260578,153.0776,0.0,0.0,0.0,0.0,0.0
196,0.11171929108260578,0.0,0.0,0.0,178.5278,178.5278,0.0
197,0.11171929108260578,65.59577,0.0,0.0,0.0,0.0,0.0
198,0.11171929108260578,0.0,0.0,154.6612,0.0,0.0,0.0
199,0.11171929108260578,0.0,116.1144,0.0,0.0,0.0,0.0
200,0.11171929108260578,0.0,101.4926,0.0,0.0,0.0,0.0
201,0.11171929108260578,63.87733,0.0,0.0,0.0,0.0,0.0
202,0.11171929108260578,0.0,0.0,0.0,44.65893,44.65893,0.0
