       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.8100000E-01	  0.1912937E+19	  0.3271619E+20	  0.2563105E+20	  0.1038680E+06	  0.1945168E+04	  0.1648539E+04	  0.9667428E-02	  0.0000000E+00	  0.3154670E+07	  0.1069835E+01
  0.8200000E-01	  0.1912570E+19	  0.3271446E+20	  0.2564306E+20	  0.1038651E+06	  0.1943882E+04	  0.1647568E+04	  0.9648434E-02	  0.0000000E+00	  0.3154626E+07	  0.1071339E+01
  0.8300000E-01	  0.1912199E+19	  0.3271270E+20	  0.2565501E+20	  0.1038623E+06	  0.1942583E+04	  0.1646586E+04	  0.9629409E-02	  0.0000000E+00	  0.3154584E+07	  0.1072855E+01
  0.8400000E-01	  0.1911830E+19	  0.3271093E+20	  0.2566689E+20	  0.1038595E+06	  0.1941271E+04	  0.1645594E+04	  0.9610359E-02	  0.0000000E+00	  0.3154542E+07	  0.1074380E+01
  0.8500000E-01	  0.1911473E+19	  0.3270913E+20	  0.2567869E+20	  0.1038567E+06	  0.1939945E+04	  0.1644592E+04	  0.9591289E-02	  0.0000000E+00	  0.3154499E+07	  0.1075916E+01
  0.8600000E-01	  0.1911134E+19	  0.3270732E+20	  0.2569040E+20	  0.1038537E+06	  0.1938606E+04	  0.1643580E+04	  0.9572206E-02	  0.0000000E+00	  0.3154453E+07	  0.1077461E+01
  0.8700000E-01	  0.1910823E+19	  0.3270547E+20	  0.2570199E+20	  0.1038504E+06	  0.1937254E+04	  0.1642557E+04	  0.9553113E-02	  0.0000000E+00	  0.3154403E+07	  0.1079015E+01
  0.8800000E-01	  0.1910546E+19	  0.3270361E+20	  0.2571347E+20	  0.1038467E+06	  0.1935889E+04	  0.1641525E+04	  0.9534018E-02	  0.0000000E+00	  0.3154347E+07	  0.1080577E+01
  0.8900000E-01	  0.1910313E+19	  0.3270172E+20	  0.2572481E+20	  0.1038426E+06	  0.1934511E+04	  0.1640482E+04	  0.9514925E-02	  0.0000000E+00	  0.3154285E+07	  0.1082147E+01
  0.9000000E-01	  0.1910130E+19	  0.3269980E+20	  0.2573600E+20	  0.1038380E+06	  0.1933120E+04	  0.1639430E+04	  0.9495839E-02	  0.0000000E+00	  0.3154215E+07	  0.1083723E+01
  0.9100000E-01	  0.1910004E+19	  0.3269786E+20	  0.2574704E+20	  0.1038328E+06	  0.1931716E+04	  0.1638368E+04	  0.9476766E-02	  0.0000000E+00	  0.3154136E+07	  0.1085307E+01
  0.9200000E-01	  0.1909928E+19	  0.3269589E+20	  0.2575792E+20	  0.1038270E+06	  0.1930299E+04	  0.1637296E+04	  0.9457709E-02	  0.0000000E+00	  0.3154049E+07	  0.1086898E+01
  0.9300000E-01	  0.1909896E+19	  0.3269390E+20	  0.2576866E+20	  0.1038209E+06	  0.1928870E+04	  0.1636214E+04	  0.9438670E-02	  0.0000000E+00	  0.3153955E+07	  0.1088496E+01
  0.9400000E-01	  0.1909898E+19	  0.3269188E+20	  0.2577926E+20	  0.1038143E+06	  0.1927427E+04	  0.1635122E+04	  0.9419652E-02	  0.0000000E+00	  0.3153856E+07	  0.1090102E+01
  0.9500000E-01	  0.1909927E+19	  0.3268984E+20	  0.2578974E+20	  0.1038075E+06	  0.1925972E+04	  0.1634021E+04	  0.9400658E-02	  0.0000000E+00	  0.3153752E+07	  0.1091715E+01
  0.9600000E-01	  0.1909974E+19	  0.3268778E+20	  0.2580009E+20	  0.1038006E+06	  0.1924505E+04	  0.1632910E+04	  0.9381690E-02	  0.0000000E+00	  0.3153647E+07	  0.1093338E+01
  0.9700000E-01	  0.1910033E+19	  0.3268569E+20	  0.2581034E+20	  0.1037936E+06	  0.1923025E+04	  0.1631789E+04	  0.9362751E-02	  0.0000000E+00	  0.3153540E+07	  0.1094969E+01
  0.9800000E-01	  0.1910093E+19	  0.3268358E+20	  0.2582048E+20	  0.1037866E+06	  0.1921532E+04	  0.1630659E+04	  0.9343843E-02	  0.0000000E+00	  0.3153434E+07	  0.1096609E+01
  0.9900000E-01	  0.1910148E+19	  0.3268145E+20	  0.2583054E+20	  0.1037797E+06	  0.1920027E+04	  0.1629519E+04	  0.9324969E-02	  0.0000000E+00	  0.3153329E+07	  0.1098259E+01
  0.1000000E+00	  0.1910190E+19	  0.3267930E+20	  0.2584050E+20	  0.1037730E+06	  0.1918510E+04	  0.1628370E+04	  0.9306131E-02	  0.0000000E+00	  0.3153228E+07	  0.1099918E+01
  0.1010000E+00	  0.1910213E+19	  0.3267713E+20	  0.2585039E+20	  0.1037666E+06	  0.1916980E+04	  0.1627211E+04	  0.9287332E-02	  0.0000000E+00	  0.3153130E+07	  0.1101588E+01
  0.1020000E+00	  0.1910221E+19	  0.3267494E+20	  0.2586019E+20	  0.1037604E+06	  0.1915439E+04	  0.1626043E+04	  0.9268572E-02	  0.0000000E+00	  0.3153036E+07	  0.1103268E+01
  0.1030000E+00	  0.1910223E+19	  0.3267272E+20	  0.2586990E+20	  0.1037543E+06	  0.1913885E+04	  0.1624865E+04	  0.9249849E-02	  0.0000000E+00	  0.3152943E+07	  0.1104957E+01
  0.1040000E+00	  0.1910225E+19	  0.3267048E+20	  0.2587951E+20	  0.1037482E+06	  0.1912319E+04	  0.1623678E+04	  0.9231165E-02	  0.0000000E+00	  0.3152851E+07	  0.1106656E+01
  0.1050000E+00	  0.1910235E+19	  0.3266823E+20	  0.2588902E+20	  0.1037421E+06	  0.1910741E+04	  0.1622481E+04	  0.9212517E-02	  0.0000000E+00	  0.3152758E+07	  0.1108364E+01
  0.1060000E+00	  0.1910261E+19	  0.3266595E+20	  0.2589841E+20	  0.1037359E+06	  0.1909150E+04	  0.1621275E+04	  0.9193905E-02	  0.0000000E+00	  0.3152664E+07	  0.1110080E+01
  0.1070000E+00	  0.1910310E+19	  0.3266364E+20	  0.2590768E+20	  0.1037294E+06	  0.1907548E+04	  0.1620060E+04	  0.9175330E-02	  0.0000000E+00	  0.3152566E+07	  0.1111806E+01
  0.1080000E+00	  0.1910390E+19	  0.3266132E+20	  0.2591682E+20	  0.1037227E+06	  0.1905934E+04	  0.1618836E+04	  0.9156790E-02	  0.0000000E+00	  0.3152463E+07	  0.1113539E+01
  0.1090000E+00	  0.1910507E+19	  0.3265897E+20	  0.2592583E+20	  0.1037156E+06	  0.1904308E+04	  0.1617603E+04	  0.9138285E-02	  0.0000000E+00	  0.3152355E+07	  0.1115281E+01
  0.1100000E+00	  0.1910670E+19	  0.3265660E+20	  0.2593470E+20	  0.1037080E+06	  0.1902670E+04	  0.1616360E+04	  0.9119814E-02	  0.0000000E+00	  0.3152240E+07	  0.1117030E+01
  0.1110000E+00	  0.1910883E+19	  0.3265421E+20	  0.2594342E+20	  0.1036999E+06	  0.1901020E+04	  0.1615108E+04	  0.9101377E-02	  0.0000000E+00	  0.3152117E+07	  0.1118787E+01
  0.1120000E+00	  0.1911142E+19	  0.3265179E+20	  0.2595200E+20	  0.1036913E+06	  0.1899359E+04	  0.1613848E+04	  0.9082974E-02	  0.0000000E+00	  0.3151986E+07	  0.1120552E+01
  0.1130000E+00	  0.1911438E+19	  0.3264935E+20	  0.2596044E+20	  0.1036823E+06	  0.1897685E+04	  0.1612578E+04	  0.9064605E-02	  0.0000000E+00	  0.3151850E+07	  0.1122324E+01
  0.1140000E+00	  0.1911765E+19	  0.3264688E+20	  0.2596876E+20	  0.1036730E+06	  0.1896001E+04	  0.1611299E+04	  0.9046270E-02	  0.0000000E+00	  0.3151708E+07	  0.1124106E+01
  0.1150000E+00	  0.1912116E+19	  0.3264439E+20	  0.2597695E+20	  0.1036635E+06	  0.1894304E+04	  0.1610011E+04	  0.9027969E-02	  0.0000000E+00	  0.3151563E+07	  0.1125896E+01
  0.1160000E+00	  0.1912482E+19	  0.3264188E+20	  0.2598504E+20	  0.1036538E+06	  0.1892596E+04	  0.1608715E+04	  0.9009703E-02	  0.0000000E+00	  0.3151416E+07	  0.1127695E+01
