bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,0,1,0.00624084,1.637916449514,1.06447e-08,8.55676e-09,BAE,4,0.752,0
0.001,2500,1,0.1,0.5,20,1,0.00627129,1.657092483912,6.57383e-09,5.33523e-10,BAE,4,0.752,0
0.001,2500,1,0.1,0.5,40,1,0.00622707,1.626669948264,9.81786e-09,1.08931e-08,BAE,4,0.752,0
0.001,2500,1,0.1,2.0,0,1,0.0062411,1.63536124443,8.31625e-09,4.01896e-09,BAE,4,0.752,0
0.001,2500,1,0.1,2.0,20,1,0.0062411,1.632440153172,9.0874e-09,4.01119e-09,BAE,4,0.752,0
0.001,2500,1,0.1,2.0,40,1,0.00626086,1.649120963826,7.1085e-09,1.24508e-09,BAE,4,0.752,0
0.001,2500,1,0.1,4.0,0,1,0.0062653,1.6395479419619998,7.75474e-09,2.71124e-09,BAE,4,0.752,0
0.001,2500,1,0.1,4.0,20,1,0.00627837,1.649001001146,6.84137e-09,5.64933e-10,BAE,4,0.752,0
0.001,2500,1,0.1,4.0,40,1,0.00618901,1.590393233832,1.08528e-08,2.63415e-08,BAE,4,0.752,1
0.001,2500,1,0.1,6.0,0,1,0.00627767,1.632949994562,8.70027e-09,5.02661e-09,BAE,4,0.752,0
0.001,2500,1,0.1,6.0,20,1,0.00635258,1.76926958598,1.94583e-07,7.47257e-07,BAE,4,0.752,0
0.001,2500,1,0.1,6.0,40,1,0.00629601,1.640303706846,6.46093e-09,1.76947e-09,BAE,4,0.752,0
0.001,2500,1,0.1,8.0,0,1,0.00651057,36.64661935578,1.59413e-07,0.00565776,Estable/Ruido,4,0.752,0
0.001,2500,1,0.1,8.0,20,1,0.00785192,91.9316003778,3.41913e-07,0.00308734,Estable/Ruido,4,0.092,0
0.001,2500,1,0.1,8.0,40,1,0.00626267,1.666473565488,1.26457e-08,4.91921e-08,BAE,4,0.752,0
0.001,2500,1,0.1,10.0,0,1,0.00760238,69.8920568082,5.97439e-07,0.00470945,Estable/Ruido,4,0.061,0
0.001,2500,1,0.1,10.0,20,1,0.0103368,107.6257179888,1.5672700000000001e-18,3.17889e-17,BAE,4,0.093,0
0.001,2500,1,0.1,10.0,40,1,0.00631174,1.650818435748,4.75596e-07,6.41456e-07,BAE,4,0.752,0
0.001,2500,1,0.2,0.5,0,1,0.00627803,1.673383415856,5.98313e-09,4.02362e-10,BAE,4,0.752,0
0.001,2500,1,0.2,0.5,20,1,0.00610234,1.584449083038,1.40795e-08,1.17047e-07,Estable/Ruido,5,0.865,1
0.001,2500,1,0.2,0.5,40,1,0.00626234,1.647333519894,7.44471e-09,1.58165e-09,BAE,4,0.752,0
0.001,2500,1,0.2,2.0,0,1,0.0062603,1.654531280694,7.11347e-09,7.3116e-10,BAE,4,0.752,0
0.001,2500,1,0.2,2.0,20,1,0.00597734,1.534988470074,2.64489e-08,3.42079e-07,Estable/Ruido,5,0.865,0
0.001,2500,1,0.2,2.0,40,1,0.00618147,1.570347470004,1.46489e-08,1.8159e-08,BAE,4,0.752,1
0.001,2500,1,0.2,4.0,0,1,0.00609093,1.492839582456,1.08509e-08,2.3312e-08,Estable/Ruido,5,0.865,0
0.001,2500,1,0.2,4.0,20,1,0.0062513,1.646661728886,8.60216e-09,1.07493e-08,BAE,4,0.752,0
0.001,2500,1,0.2,4.0,40,1,0.00626684,1.639727885982,7.66154e-09,2.65002e-09,BAE,4,0.752,0
0.001,2500,1,0.2,6.0,0,1,0.00627751,1.641731262738,5.85515e-09,2.03217e-09,BAE,4,0.752,0
0.001,2500,1,0.2,6.0,20,1,0.00627731,1.6419651899640002,6.83235e-09,4.02118e-09,BAE,4,0.752,0
