bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,2.0,0,5,0.0264432,38.72077409298,5.96546e-22,3.2105999999999997e-21,BAE,17,0.106,0
0.001,2500,1,0.1,0.5,20,5,0.0267626,38.01965220972,1.37232e-20,2.02086e-21,BAE,17,0.106,0
0.001,2500,1,0.1,0.5,0,5,0.0266879,38.127138771,1.45378e-20,4.95046e-20,BAE,17,0.106,0
0.001,2500,1,0.1,2.0,20,5,0.0266391,38.35164892662,6.03925e-21,3.1680799999999998e-21,BAE,17,0.106,0
0.001,2500,1,0.1,4.0,0,5,0.0261275,39.34661939454001,8.640860000000001e-18,2.45846e-15,BAE,17,0.105,0
0.001,2500,1,0.1,6.0,20,5,0.0263572,38.98583163444,1.54731e-20,2.8890699999999996e-20,BAE,17,0.106,0
0.001,2500,1,0.1,4.0,20,5,0.0264916,38.69882092254,1.13106e-22,2.0038699999999997e-21,BAE,17,0.106,0
0.001,2500,1,0.1,6.0,0,5,0.0258212,39.86773727646,2.15993e-20,6.7292500000000006e-18,BAE,17,0.105,0
0.001,2500,1,0.1,8.0,0,5,0.0255108,40.3413499371,1.48974e-15,6.70116e-13,BAE,17,0.105,0
0.001,2500,1,0.1,8.0,20,5,0.0262276,39.24513096726,1.60266e-20,2.1348399999999998e-20,BAE,17,0.106,0
0.001,2500,1,0.1,10.0,0,5,0.025183,40.7984077479,6.68357e-13,3.85581e-10,BAE,17,0.105,0
0.001,2500,1,0.1,10.0,20,5,0.0260969,39.49447339764,2.4695399999999997e-20,6.82604e-18,BAE,17,0.105,0
0.001,2500,1,0.2,0.5,0,5,0.0266917,38.11646209248,9.26252e-21,8.25117e-21,BAE,17,0.106,0
0.001,2500,1,0.2,0.5,20,5,0.0267647,38.01365407572,5.46597e-22,5.40644e-22,BAE,17,0.106,0
0.001,2500,1,0.2,2.0,0,5,0.0265003,38.5871956488,4.2589699999999994e-20,2.44164e-19,BAE,17,0.106,0
0.001,2500,1,0.2,2.0,20,5,0.0266668,38.27733204636,4.07551e-21,1.07998e-21,BAE,17,0.106,0
0.001,2500,1,0.2,4.0,0,5,0.0263257,38.93460757008,7.919019999999999e-22,1.3337599999999999e-21,BAE,17,0.105,0
0.001,2500,1,0.2,6.0,0,5,0.0262218,39.08785989378,2.72239e-18,7.09573e-16,BAE,17,0.105,0
0.001,2500,1,0.2,4.0,20,5,0.0265816,38.471791550640006,7.89018e-21,6.62831e-20,BAE,17,0.106,0
0.001,2500,1,0.2,6.0,20,5,0.026531,38.55924434436,3.4796399999999995e-21,3.70338e-22,BAE,17,0.106,0
0.001,2500,1,0.2,8.0,0,5,0.0261787,39.1012357326,2.4765599999999997e-20,3.54448e-19,BAE,17,0.105,0
0.001,2500,1,0.2,8.0,20,5,0.0265085,38.57004098556,2.59498e-21,1.5389699999999997e-20,BAE,17,0.106,0
0.001,2500,1,0.2,10.0,0,5,0.0261868,39.01618219248,1.8608e-20,4.5682899999999996e-20,BAE,17,0.105,0
0.001,2500,1,0.2,10.0,20,5,0.0265099,38.52589471932,9.06815e-21,1.5315999999999999e-21,BAE,17,0.106,0
0.001,2500,1,0.3,0.5,0,5,0.0266956,38.10572543262,2.55567e-21,1.44506e-22,BAE,17,0.106,0
0.001,2500,1,0.3,0.5,20,5,0.0267667,38.00759596038,3.14352e-22,1.86167e-23,BAE,17,0.106,0
0.001,2500,1,0.3,2.0,0,5,0.0265573,38.450378212260006,4.19123e-20,3.9761e-20,BAE,17,0.106,0
0.001,2500,1,0.3,2.0,20,5,0.0266951,38.20097580054,1.3393699999999999e-20,1.3090699999999998e-20,BAE,17,0.106,0
0.001,2500,1,0.3,4.0,0,5,0.0265172,38.51527802214,7.47866e-21,3.3923299999999997e-20,BAE,17,0.106,0
0.001,2500,1,0.3,4.0,20,5,0.0266743,38.23798428732,1.9008e-22,2.03172e-22,BAE,17,0.106,0
0.001,2500,1,0.3,6.0,0,5,0.026563,38.38223941002,8.846489999999999e-20,9.334430000000001e-18,BAE,17,0.106,0
0.001,2500,1,0.3,6.0,20,5,0.0266969,38.16396731376,1.5608e-20,1.00216e-20,BAE,17,0.106,0
0.001,2500,1,0.3,8.0,0,5,0.026628,38.21633102358,8.905419999999999e-21,4.2334099999999995e-21,BAE,17,0.106,0
0.001,2500,1,0.3,8.0,20,5,0.0267302,38.07081629274,2.72296e-21,4.97368e-22,BAE,17,0.106,0
0.001,2500,1,0.3,10.0,0,5,0.0266812,38.08683131052,1.4825699999999998e-20,4.61391e-21,BAE,17,0.106,0
0.001,2500,1,0.3,10.0,20,5,0.0267583,37.99769903927999,8.63902e-21,1.8038299999999998e-21,BAE,17,0.106,0
0.001,2500,1,0.4,0.5,0,5,0.0266995,38.09498877276,2.12556e-20,1.0423000000000001e-19,BAE,17,0.106,0
0.001,2500,1,0.4,0.5,20,5,0.0267688,38.00153784504,9.10124e-23,1.83052e-22,BAE,17,0.106,0
0.001,2500,1,0.4,2.0,0,5,0.0266088,38.32273792074,2.2439599999999998e-20,7.19695e-20,BAE,17,0.106,0
0.001,2500,1,0.4,2.0,20,5,0.0267213,38.1295380246,1.53706e-20,3.15139e-21,BAE,17,0.106,0
0.001,2500,1,0.4,4.0,0,5,0.0266426,38.21927010924,7.44953e-21,9.982009999999999e-20,BAE,17,0.106,0
0.001,2500,1,0.4,4.0,20,5,0.0267384,38.07177599418,3.5018499999999995e-21,2.40369e-21,BAE,17,0.106,0
0.001,2500,1,0.4,6.0,0,5,0.0267031,38.058400155360005,5.76815e-21,6.08645e-22,BAE,17,0.106,0
0.001,2500,1,0.4,6.0,20,5,0.0267704,37.98132413346,1.57558e-20,2.52564e-21,BAE,17,0.106,0
