r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.015,5.87610694e-09,1.28379613e-09,1.10142194e-10,-6.34190287e-12,-4.330914e-11,3.78111757e-13,3.72894854e-13,4.23265049e-14,1.27662918e-14,1.64900182e-15,-1.21591784e-10,-2.23049205e-10,-1.8836521e-10,-4.32026563e-11,-1.93816337e-11,-2.46700968e-12,-2.07817712e-13,-1.12084488e-14,-3.87572167e-15,-5.57822663e-16
0.016,8.61756551e-09,2.0119266e-09,2.01158506e-10,-6.63402986e-13,-6.54281265e-11,3.01574602e-13,5.03534726e-13,6.07399404e-14,1.72238838e-14,2.3309732300000003e-15,-1.46817769e-10,-3.42226678e-10,-3.12784733e-10,-7.76884865e-11,-3.77340373e-11,-3.66291849e-12,-3.26867759e-13,-1.55685745e-14,-6.1118079100000006e-15,-8.05597841e-16
0.017,1.23433641e-08,3.06790186e-09,3.46556038e-10,1.2422027e-11,-9.8049546e-11,-3.86968364e-14,6.68367181e-13,8.58055499e-14,2.28796319e-14,3.24076739e-15,-1.62393925e-10,-5.10057303e-10,-5.03335298e-10,-1.3451923e-10,-7.09411835e-11,-5.49897009e-12,-5.02165578e-13,-2.09134537e-14,-9.37983894e-15,-1.1365959400000001e-15
0.018,1.73136449e-08,4.56594007e-09,5.71104181e-10,3.78816915e-11,-1.45911138e-10,-9.03994025e-13,8.73372879e-13,1.19531633e-13,2.99817192e-14,4.4424481900000006e-15,-1.56690772e-10,-7.40633781e-10,-7.87725422e-10,-2.25330097e-10,-1.28710369e-10,-8.3465808e-12,-7.55350644e-13,-2.71399234e-14,-1.40498972e-14,-1.57025625e-15
0.019,2.38350047e-08,6.6497715e-09,9.08231839e-10,8.30559989e-11,-2.15687115e-10,-2.7294874e-12,1.12477551e-12,1.64405373e-13,3.88211972e-14,6.01622636e-15,-1.12451416e-10,-1.05035076e-09,-1.20249234e-09,-3.66545502e-10,-2.25794455e-10,-1.27820799e-11,-1.11483492e-12,-3.39265376e-14,-2.05906601e-14,-2.12793576e-15
0.02,3.22649675e-08,9.4978665e-09,1.40230705e-09,1.58523614e-10,-3.16639882e-10,-6.21020042e-12,1.42867826e-12,2.23453027e-13,4.97394971e-14,8.062232680000001e-15,-5.14141103e-12,-1.45780571e-09,-1.79499667e-09,-5.80892546e-10,-3.84061558e-10,-1.9684786e-11,-1.61759331e-12,-4.06214582e-14,-2.95869913e-14,-2.8321744900000004e-15
0.021,4.30164372e-08,1.33291864e-08,2.11134736e-09,2.79210648e-10,-4.61429506e-10,-1.24189524e-11,1.79046527e-12,3.00281724e-13,6.31373679e-14,1.07051509e-14,1.98989564e-10,-1.98353699e-09,-2.62568319e-09,-8.99261899e-10,-6.35224031e-10,-3.03738691e-11,-2.31140248e-12,-4.60964402e-14,-4.17586461e-14,-3.70556939e-15
0.022,5.65620849e-08,1.84094633e-08,3.11021333e-09,4.65796493e-10,-6.67099598e-10,-2.29648141e-11,2.21387171e-12,3.99085856e-13,7.94846838e-14,1.40993902e-14,5.45155381e-10,-2.64955886e-09,-3.77061088e-09,-1.362967e-09,-1.02438429e-09,-4.67961604e-11,-3.25764954e-12,-4.85606341e-14,-5.79800462e-14,-4.769066490000001e-15
0.023,7.34386195e-08,2.50580094e-08,4.4943404e-09,7.46477182e-10,-9.56254942e-10,-4.02020474e-11,2.69959387e-12,5.24595845e-13,9.93310349e-14,1.84358512e-14,1.09260984e-09,-3.47864901e-09,-5.32425036e-09,-2.02645496e-09,-1.61458105e-09,-7.17799263e-11,-4.53486886e-12,-4.53284996e-14,-7.93001857e-14,-6.039730700000001e-15
0.024,9.42508899e-08,3.36550508e-08,6.38406657e-09,1.15915633e-09,-1.35844083e-09,-6.7500949e-11,3.24328338e-12,6.81938028e-13,1.2331622e-13,2.39486393e-14,1.9175689e-09,-4.49334074e-09,-7.40253992e-09,-2.96052457e-09,-2.49254822e-09,-1.09372932e-10,-6.24320612e-12,-3.25366043e-14,-1.06962768e-13,-7.527765e-15
