r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.023,-1.28228446e-05,-6.25557598e-07,-3.77282387e-07,-6.25555757e-09,1.95063489e-10,3.02388408e-11,6.92927095e-13,-3.78787444e-06,-3.51329535e-06,1.08661588e-08,4.84427137e-11,7.95281194e-10,5.04967582e-11,3.10332709e-11
0.024,-1.51682929e-05,-7.70591108e-07,-4.8699048e-07,-8.37949353e-09,2.23097666e-10,4.81047428e-11,-1.39063724e-12,-4.49125426e-06,-4.33923047e-06,1.20473666e-08,3.40699723e-11,7.89804063e-10,6.25000595e-11,3.20103286e-11
0.025,-1.78167167e-05,-9.40941237e-07,-6.21953684e-07,-1.11066671e-08,2.53344463e-10,7.20688592e-11,-4.28508566e-12,-5.28804728e-06,-5.31270167e-06,1.30586331e-08,1.21438683e-11,7.33972145e-10,7.80414355e-11,3.26221024e-11
0.026,-2.07918619e-05,-1.13966662e-06,-7.86594254e-07,-1.45752072e-08,2.86081596e-10,1.03851031e-10,-8.19451983e-12,-6.18606382e-06,-6.45234301e-06,1.37768603e-08,-2.0366267e-11,6.08527095e-10,9.80667767e-11,3.28516024e-11
0.027,-2.41181062e-05,-1.37003454e-06,-9.85883472e-07,-1.89477845e-08,3.21821576e-10,1.45592607e-10,-1.33600666e-11,-7.19339412e-06,-7.77821845e-06,1.40468576e-08,-6.73938959e-11,3.89623121e-10,1.23719322e-10,3.2703691e-11
0.028,-2.78204194e-05,-1.63552246e-06,-1.2253833e-06,-2.44148356e-08,3.61403235e-10,1.9993846e-10,-2.0064986e-11,-8.31840118e-06,-9.31185944e-06,1.36766076e-08,-1.33959462e-10,4.80705155e-11,1.56369683e-10,3.22117246e-11
0.029,-3.19243225e-05,-1.93981875e-06,-1.51128915e-06,-3.11980782e-08,4.06102312e-10,2.70130197e-10,-2.86406806e-11,-9.5697132e-06,-1.10763e-05,1.24321862e-08,-2.26379095e-10,-4.51502473e-10,1.97648724e-10,3.1444984e-11
0.03,-3.6455845e-05,-2.28682274e-06,-1.85047371e-06,-3.95543335e-08,4.57764184e-10,3.60110676e-10,-3.94733928e-11,-1.09562155e-05,-1.30961098e-05,1.00323401e-08,-3.52499637e-10,-1.15157437e-09,2.49483281e-10,3.05174806e-11
0.031,-4.14414827e-05,-2.68064391e-06,-2.25053178e-06,-4.97796656e-08,5.18963612e-10,4.74640159e-10,-5.30125162e-11,-1.24870418e-05,-1.53974242e-05,6.14273133e-09,-5.21963627e-10,-2.10274728e-09,3.14134887e-10,2.95977609e-11
0.032,-4.69081526e-05,-3.12560038e-06,-2.71982601e-06,-6.22138491e-08,5.93192989e-10,6.19423834e-10,-6.9779806e-11,-1.41715654e-05,-1.80079723e-05,3.69857017e-10,-7.46509247e-10,-3.36486082e-09,3.94241355e-10,2.89205023e-11
