r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.282,0.0524216766,-0.553434983,0.514238934,-6.82930207,0.357428257,-0.0582563949,-0.0333706121,0.053071869,-1.22727601,10.6725455,-4.02240076,-1.89220366,-0.135670308,-0.068664869
0.283,0.0506064459,-0.526608365,0.333653403,-6.73444462,0.372857777,-0.0586963375,-0.0337335056,0.0526848179,-1.2424188,10.6206267,-4.06592157,-1.8888199,-0.137754749,-0.0702845647
0.284,0.0487919845,-0.499479815,0.15437004,-6.63839919,0.388291019,-0.05910165,-0.0340725992,0.0522750896,-1.25663115,10.5641186,-4.10789238,-1.88480569,-0.139834135,-0.071915524
0.285,0.0469798297,-0.472082741,-0.0234443758,-6.54131698,0.403716308,-0.0594727754,-0.034387583,0.0518417661,-1.2699186,10.5032052,-4.14833367,-1.88018561,-0.141908805,-0.0735577455
0.286,0.0451711495,-0.444445562,-0.199632617,-6.44328598,0.419118603,-0.0598096584,-0.0346777944,0.0513834596,-1.28227691,10.4379782,-4.18723162,-1.87496775,-0.143977926,-0.0752105547
0.287,0.0433671448,-0.416596339,-0.374042119,-6.34438404,0.43448229,-0.0601122187,-0.0349425128,0.0508987341,-1.29370128,10.3685199,-4.2245688,-1.86915824,-0.146040472,-0.0768731288
0.288,0.041569088,-0.388563472,-0.546524942,-6.24468831,0.449791865,-0.0603803957,-0.0351810092,0.0503862216,-1.30418809,10.2949176,-4.26032982,-1.86276405,-0.148095431,-0.0785445967
0.289,0.0397782927,-0.360375702,-0.716938369,-6.14427481,0.465032055,-0.0606141146,-0.0353925467,0.049844679,-1.31373482,10.2172629,-4.29450082,-1.855793,-0.150141818,-0.08022403
0.29,0.0379960964,-0.332062211,-0.885145908,-6.0432179,0.480187873,-0.060813229,-0.0355763743,0.0492730871,-1.32234015,10.1356509,-4.32706811,-1.84825388,-0.152178673,-0.0819104113
0.291,0.0362238845,-0.303652536,-1.05101879,-5.94158735,0.495243953,-0.0609774101,-0.0357316714,0.04867082,-1.33000414,10.0501758,-4.35801329,-1.8401557,-0.154205075,-0.0836025498
0.292,0.0344628553,-0.275173899,-1.21442614,-5.8393932,0.510178581,-0.0611055771,-0.0358571664,0.0480373947,-1.33671678,9.96083733,-4.38726788,-1.83149019,-0.156218868,-0.0852982384
0.293,0.0327139137,-0.246652693,-1.37522325,-5.7365855,0.524963989,-0.0611959544,-0.0359512428,0.0473722224,-1.34245496,9.86753458,-4.41471244,-1.82223001,-0.158216032,-0.0869941132
0.294,0.0309782642,-0.218120006,-1.53327126,-5.63317046,0.539576696,-0.0612473389,-0.0360127481,0.0466754002,-1.34720774,9.77026193,-4.44026525,-1.81236461,-0.160193622,-0.0886874048
0.295,0.0292573654,-0.189610019,-1.68844721,-5.52921793,0.553999181,-0.0612591833,-0.0360410505,0.0459477398,-1.35097952,9.6691249,-4.46389343,-1.80190379,-0.162150302,-0.0903762579
0.296,0.0275525811,-0.161156575,-1.84063358,-5.42480112,0.568214786,-0.0612310002,-0.0360356497,0.0451902236,-1.35377664,9.5642381,-4.48556924,-1.79085898,-0.164084826,-0.0920588916
0.297,0.0258651961,-0.132793001,-1.98971755,-5.31999322,0.582207309,-0.0611623758,-0.0359961589,0.0444039312,-1.35560669,9.45571956,-4.50526785,-1.77924203,-0.16599594,-0.0937335539
0.298,0.0241964466,-0.104552032,-2.1355909,-5.21486754,0.595960933,-0.0610529856,-0.0359222975,0.0435900057,-1.35647854,9.34369092,-4.52296752,-1.76706509,-0.167882371,-0.0953985252
0.299,0.0225475619,-0.0764656554,-2.27814992,-5.10949769,0.609460138,-0.0609026198,-0.0358138891,0.0427496037,-1.35640228,9.22827768,-4.53865019,-1.75434063,-0.169742837,-0.0970521315
0.3,0.0209197866,-0.0485648663,-2.41729293,-5.0039539,0.622689181,-0.0607111797,-0.0356708466,0.0418837793,-1.35538809,9.10960248,-4.55229924,-1.74108001,-0.171575915,-0.0986927099
0.301,0.0193143014,-0.0208797307,-2.55291244,-4.89829236,0.635631105,-0.0604786104,-0.0354931055,0.0409932166,-1.35344223,8.98776508,-4.56389218,-1.72728954,-0.173379568,-0.100318472
0.302,0.0177322524,0.00655979374,-2.6849003,-4.79257231,0.648270965,-0.0602051399,-0.0352807062,0.0400781332,-1.35057034,8.86287298,-4.57341958,-1.71297639,-0.175151489,-0.101927813
0.303,0.0161749442,0.0337241847,-2.81315907,-4.68686976,0.660596573,-0.0598914086,-0.0350338032,0.0391385903,-1.34678286,8.7350684,-4.58089472,-1.6981538,-0.17688991,-0.103519514
0.304,0.0146438359,0.0605846609,-2.93759903,-4.58126415,0.672596504,-0.059538223,-0.0347525631,0.0381745783,-1.3420926,8.60450494,-4.58633901,-1.68283695,-0.178593275,-0.105092445
0.305,0.0131404943,0.0871131001,-3.05813727,-4.47583381,0.684259619,-0.0591464551,-0.034437134,0.0371860885,-1.33651369,8.4713394,-4.58977691,-1.66704164,-0.1802601,-0.106645454
